data_collection_reference_id,specimen_type_name
macosko_bg_multiome_atac_macaque,cell nucleus
macosko_bg_multiome_gex_human,cell nucleus
macosko_bg_multiome_gex_macaque,cell nucleus
macosko_bg_shareseq_macaque,cell nucleus
macosko_bg_slideseq_histologydataset_human,brain slice
macosko_bg_slideseq_histologydataset_macaque,brain slice
macosko_bg_slideseq_human,library
macosko_bg_slideseq_macaque,library
macosko_bg_wgs_human,brain region
macosko_mouse_slideseq_histologydataset,brain slice
macosko_mouse_slideseq_slideseqdataset,library
mop_evo_pseq_e,cell in slice
mop_evo_pseq_hu_t,cell nucleus
mop_evo_pseq_m,cell in slice
mop_evo_pseq_t,cell nucleus
mueller_mouselight,whole brain
nowakowski_evobc,cell nucleus
nowakowski_pndev_10xv3,cell nucleus
osten_ls,whole brain
osten_stpt,whole brain
regev_cisi,brain slice
ren_pairedtag_human_DNA,library
ren_pairedtag_human_RNA,library
ren_pairedtag_mouse_adult_DNA,library
ren_pairedtag_mouse_adult_RNA,library
ren_pairedtag_mouse_dev_DNA,library
ren_pairedtag_mouse_dev_RNA,library
roussos_hu_multiome_atac,cell nucleus
roussos_hu_multiome_gex,cell nucleus
roussos_hu_multiome_seqfish,brain slice
sestan_multiome_10x_human,library
sestan_multiome_10x_nhp,library
sestan_sc_10xv2_nhp_dev,whole cell
sestan_sc_10xv3_nhp_dev,whole cell
sestan_sn_10xv3_human,cell nucleus
sestan_sn_10xv3_human_pfc,cell nucleus
sestan_sn_10xv3_nhp_adult,cell nucleus
sestan_sn_10xv3_nhp_adult_pfc,cell nucleus
sestan_sn_10xv3_pig,cell nucleus
shepherd_rnafish_rna,tissue sample
snyder-mackler_macaque_scATAC,brain region
snyder-mackler_macaque_scRNA,brain region
tasic_ATACseq,whole cell
tasic_sc_SSv4,whole cell
tasic_stpt,whole brain
tilgner_10x_scRNA,library
tilgner_human_10x_snRNA,library
tilgner_human_sn_ont,library
tilgner_sc_ONT,whole cell
tilgner_sc_pb,whole cell
yang_morf_cells,reconstruction
yang_MORF_confocal,brain section set
zeng_anderson_sc_10xv2,whole cell
zeng_anderson_sc_10xv3,whole cell
zeng_expr_char,whole brain
zeng_fmost,whole brain
zeng_fmost_cells,whole cell
zeng_mouselight,whole brain
zeng_multiome_ATACseq,cell nucleus
zeng_multiome_RNAseq,cell nucleus
zeng_retro,whole brain
zeng_sc_10xv2,whole cell
zeng_sc_10xv3,whole cell
zeng_sc_SSv4,whole cell
zeng_sn_10xv2,cell nucleus
zeng_sn_10xv3,cell nucleus
zeng_sn_SSv4,cell nucleus
zeng_tolias_pseq_e,cell in slice
zeng_tolias_pseq_m,cell in slice
zeng_tolias_pseq_t,cell nucleus
zhangK_cj_snareseq_AC,cell nucleus
zhangK_cj_snareseq_R,cell nucleus
zhangK_hs_snareseq_AC,brain region
zhangK_hs_snareseq_R,brain region
zhangK_hu_multiome_atac,cell nucleus
zhangK_hu_multiome_gex,cell nucleus
zhangl_anatomy,spinal cord
zhangl_ephys,spinal cord slice
zhangl_kz_omics,cell nucleus
zhangl_seqfish,spinal cord slice
zhuang_abca_1,brain slice
zhuang_abca_2,brain slice
zhuang_abca_3,brain slice
zhuang_abca_4,brain slice
zhuang_dulac_merfish_HYP_1,brain slice
zhuang_dulac_merfish_HYP_2,brain slice
zhuang_dulac_merfish_HYP_3,brain slice
zhuang_dulac_merfish_MOB,brain slice
zhuang_dulac_merfish_MOE,whole cell
zhuang_dulac_merfish_PAG,whole cell
zhuang_dulac_merfish_PAG_1,brain slice
zhuang_dulac_merfish_PAG_2,whole cell
zhuang_merfish_M1,whole cell
zhuang_merfish_MOp,brain slice
zhuang_merfish_NAc,whole cell
