project_reference_id,protocol_reference_id,priority_order
huang_stpt_count_proj,protocol http://doi.org/10.17504/protocols.io.sqcedsw,0
kriegstein_sc_10x_proj,protocol https://cells.ucsc.edu/cortex-dev/protocol.pdf,0
kriegstein_sc_ATACseq_proj,protocol https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf,0
kriegstein_sc_multiome_proj,protocol https://assets.ctfassets.net/an68im79xiti/7x5E4P6xefQruTbFg0yr3a/1381fdcd2d2e7d667ef5b415119dab15/CG000338_ChromiumNextGEM_Multiome_ATAC_GEX_User_Guide_RevE.pdf,0
kriegstein_sn_10x_proj,protocol https://cells.ucsc.edu/cortex-dev/protocol.pdf,0
kriegstein_spatial_proj,protocol https://vizgen.com/wp-content/uploads/2021/10/91600002_MERSCOPE-Fresh-and-Fixed-Frozen-Tissue-Sample-Preparation-User-Guide.pdf,0
lein_evo_10x_proj,protocol https://doi.org/10.17504/protocols.io.bq64mzgw,0
lein_great_ape_mtg_RNA_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq64mzgw,0
lein_human_pseq_proj,protocol https://doi.org/10.17504/protocols.io.bpbuminw,0
lein_L5_pseq_proj,protocol https://doi.org/10.17504/protocols.io.bpbuminw,0
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.7aehibe,0
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.nx3dfqn,1
lein_sn_10x,protocol http://doi.org/10.17504/protocols.io.y6rfzd6,2
lein_sn_hippocampus_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq6ymzfw,0
lein_sn_hippocampus_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq7dmzi6,1
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.63rhgm6,0
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7aehibe,1
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d5hi86,2
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d6hi9e,3
lein_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.ztqf6mw,4
macosko_bg_multiome_proj,protocol https://doi.org/10.17504/protocols.io.bvv6n69e,0
macosko_bg_slideseq_proj,protocol https://doi.org/10.17504/protocols.io.bvv6n69e,0
macosko_mouse_slideseq_proj,protocol https://doi.org/10.17504/protocols.io.bvv6n69e,0
mop_evo_tx_epi_pseq_proj,protocol https://doi.org/10.17504/protocols.io.bpbuminw,0
osten_stpt_proj,protocol http://doi.org/10.17504/protocols.io.smvec66,0
ren_pairedtag_proj,protocol https://doi.org/10.1038/s41592-021-01060-3,0
shepherd_rnafish_proj,protocol https://www.biospyder.com/tempo-seq-workflow,0
snyder-mackler_macaque_proj,protocol https://doi.org/10.17504/protocols.io.9yih7ue,0
snyder-mackler_macaque_proj,protocol https://doi.org/10.17504/protocols.io.be8mjhu6,1
tasic_sc_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.7d5hi86,0
tasic_sc_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.7d6hi9e,1
tasic_sc_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq6wmzfe,2
tasic_sc_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.brdjm24n,3
tilgner_scisorseq,protocol https://assets.ctfassets.net/an68im79xiti/1eX2FPdpeCgnCJtw4fj9Hx/7cb84edaa9eca04b607f9193162994de/CG000204_ChromiumNextGEMSingleCell3_v3.1_Rev_D.pdf,0
tilgner_scisorseq,protocol https://www.pacb.com/wp-content/uploads/Iso-Seq-Express-Library-Preparation-Using-SMRTbell-Express-Template-Prep-Kit-2.0-%E2%80%93-Customer-Training.pdf,1
tilgner_snisorseq_human,protocol https://www.nature.com/articles/s41587-022-01231-3,0
TransgenicSTPT,protocol http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf,0
zeng_anderson_sc_10xv2_proj,protocol https://doi.org/10.1016/j.cell.2019.09.020,0
zeng_anderson_sc_10xv3_proj,protocol https://dx.doi.org/10.17504/protocols.io.bavuie6w,0
zeng_fmost_proj,protocol http://doi.org/10.17504/protocols.io.ssgeebw,0
zeng_retro_proj,protocol http://help.brain-map.org/display/mouseconnectivity/Documentation,0
zeng_sc_10x_proj,protocol http://doi.org/10.17504/protocols.io.ynxfvfn,0
zeng_sc_10x_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq7cmziw,1
zeng_sc_10x_proj,protocol https://dx.doi.org/10.17504/protocols.io.bsfdnbi6,2
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.63rhgm6,0
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d5hi86,1
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d6hi9e,2
zeng_sc_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7dwhi7e,3
zeng_sn_10x_proj,protocol http://doi.org/10.17504/protocols.io.ynxfvfn,0
zeng_sn_10x_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq7cmziw,1
zeng_sn_10x_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq7emzje,2
zeng_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d5hi86,0
zeng_sn_SSv4_proj,protocol http://doi.org/10.17504/protocols.io.7d6hi9e,1
zeng_sn_SSv4_proj,protocol http://help.brain-map.org/display/celltypes/Documentation,2
zeng_sn_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.be4cjgsw,3
zeng_sn_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq6wmzfe,4
zeng_sn_SSv4_proj,protocol https://dx.doi.org/10.17504/protocols.io.bq7emzje,5
zhangK_multiome_proj,protocol https://www.10xgenomics.com/support/single-cell-multiome-atac-plus-gene-expression/documentation/steps/library-prep/chromium-next-gem-single-cell-multiome-atac-plus-gene-expression-reagent-kits-user-guide,0
zhangK_snareseq,protocol http://doi.org/10.17504/protocols.io.8tvhwn6,0
zhangK_snareseq,protocol https://dx.doi.org/10.17504/protocols.io.bzdsp26e,1
zhuang_dulac_merfish_HYP_proj,protocol https://dx.doi.org/10.17504/protocols.io.metc3en,0
zhuang_dulac_merfish_MOB_proj,protocol https://doi.org/10.17504/protocols.io.metc3en,0
zhuang_dulac_merfish_MOE_proj,protocol https://doi.org/10.17504/protocols.io.metc3en,0
zhuang_dulac_merfish_PAG_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
zhuang_merfish_MOp_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
zhuang_merfish_NAc_proj,protocol https://doi.org/10.17504/protocols.io.mepc3dn,0
