data_collection_reference_id,specimen_type_name,reported_count
zeng_mouselight,whole brain,1
zeng_retro,whole brain,994
zeng_sc_10xv2,whole cell,3613317
zeng_sc_10xv3,whole cell,4779407
zeng_sc_SSv4,whole cell,204634
zeng_sn_10xv2,cell nucleus,627215
zeng_sn_10xv3,cell nucleus,70345
zeng_sn_SSv4,cell nucleus,8741
zeng_tolias_pseq_e,cell in slice,1320
zeng_tolias_pseq_m,cell in slice,1320
zeng_tolias_pseq_t,cell nucleus,1320
zhangK_cj_snareseq_AC,cell nucleus,10780
zhangK_cj_snareseq_R,cell nucleus,12232
zhangK_hs_snareseq_AC,brain region,159199
zhangK_hs_snareseq_R,brain region,170257
zhangl_anatomy,spinal cord,22
zhangl_ephys,spinal cord slice,25
zhangl_kz_omics,cell nucleus,86974
zhangl_seqfish,spinal cord slice,6
zhuang_dulac_merfish_HYP_1,brain slice,200
zhuang_dulac_merfish_HYP_2,brain slice,1
zhuang_dulac_merfish_MOB,brain slice,355
zhuang_dulac_merfish_MOE,whole cell,3300000
zhuang_dulac_merfish_PAG,whole cell,2900000
zhuang_dulac_merfish_PAG_2,whole cell,2900000
zhuang_merfish_M1,whole cell,300000
zhuang_merfish_NAc,whole cell,750000
