web_resource_short_title,project,web_resource_type,project_highlight_url,subprograms
BIL,zhuang_dulac_merfish_MOE_proj,download,https://download.brainimagelibrary.org/3d/91/3d9109168823fe39/,[U19 Zeng]
BIL,zhuang_dulac_merfish_PAG_proj,download,https://download.brainimagelibrary.org/0a/46/0a4681ec1919cda5,[U19 Huang]
BIL,zhuang_dulac_merfish_PAG_proj,download,https://download.brainimagelibrary.org/cb/6d/cb6defa2eab96ddb/,[U19 Huang]
BIL,zhuang_merfish_MOp_proj,download,https://download.brainimagelibrary.org/02/26/02265ddb0dae51de,"[U19 Huang, U19 Zeng]"
BIL,zhuang_merfish_MOp_proj,download,https://download.brainimagelibrary.org/cf/1c/cf1c1a431ef8d021,"[U19 Huang, U19 Zeng]"
BIL,zhuang_merfish_NAc_proj,download,https://download.brainimagelibrary.org/fc/4c/fc4c2570c3711952/,[U19 Huang]
DANDI,fischl_mri_proj,download,https://gui.dandiarchive.org/#/dandiset/000026,[U01 Fischl]
DANDI,zeng_tolias_pseq_proj,download,http://identifiers.org/DANDI:000008,[U19 Zeng]
DANDI,zhangl_ephys_proj,download,https://gui.dandiarchive.org/#/dandiset/000117,[U01 ZhangLi]
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",mop_evo_tx_epi_pseq_proj,view,https://doi.org/10.1101/2020.03.31.016972,[U01 Lein]
GitHub,regev_cisi_proj,information,https://github.com/cleary-lab/CISI,[RF1 Regev]
NeMO,dulac_hyp_sn_10x_proj,download,https://assets.nemoarchive.org/dat-4xq7q5j,[U19 Huang]
NeMO,dulac_pag_sn_10x_proj,download,https://assets.nemoarchive.org/dat-diw5xr1,[U19 Huang]
NeMO,ecker_hu_DNAseq_proj,download,https://assets.nemoarchive.org/dat-a6v2v36,[U01 Ecker]
NeMO,ecker_hu_sn_ATACseq_proj,download,https://assets.nemoarchive.org/dat-d6r90fb,[U01 Ecker]
NeMO,ecker_hu_sn_mCseq_proj,download,https://assets.nemoarchive.org/dat-fcr7gr0,[U01 Ecker]
NeMO,ecker_sn_ATACseq_proj,download,https://assets.nemoarchive.org/dat-fz3s3s2,[U19 Ecker]
NeMO,ecker_sn_mCseq_proj,download,https://assets.nemoarchive.org/dat-m5wqy8t,[U19 Ecker]
NeMO,ecker_sn_mCseq_retro_proj,download,https://assets.nemoarchive.org/dat-m21bzvo,[U19 Ecker]
NeMO,feng_sn_dropseq_proj,download,https://assets.nemoarchive.org/dat-7jxfmkh,[U01 Feng]
NeMO,feng_sn_dropseq_proj,download,https://assets.nemoarchive.org/dat-knrjpcj,[U01 Feng]
NeMO,huang_dev_cx_proj,download,https://assets.nemoarchive.org/dat-35p4oe3,[U19 Huang]
NeMO,huang_dev_cx_proj,download,https://assets.nemoarchive.org/dat-ifqsj4a,[U19 Huang]
NeMO,huang_macosko_sn_10xv3_proj,download,https://assets.nemoarchive.org/dat-svco5za,[U19 Huang]
NeMO,huang_pn_proj,download,https://assets.nemoarchive.org/dat-mq52tet,[U19 Huang]
NeMO,huang_sn_10xv2_proj,download,https://assets.nemoarchive.org/dat-vutwbqm,[U19 Huang]
NeMO,kriegstein_sc_10x_proj,download,https://assets.nemoarchive.org/dat-qf43d3z,[U01 Kriegstein]
NeMO,kriegstein_sc_10x_proj,download,https://assets.nemoarchive.org/dat-t4xnmho,[U01 Kriegstein]
NeMO,kriegstein_sc_ATACseq_proj,download,https://assets.nemoarchive.org/dat-gnot1gb,[U01 Kriegstein]
NeMO,kriegstein_sn_10x_proj,download,https://assets.nemoarchive.org/dat-b3brzfa,[U01 Kriegstein]
NeMO,lein_sn_10x,download,https://assets.nemoarchive.org/dat-5ie1mec,[U01 Lein]
NeMO,lein_sn_10x,download,https://assets.nemoarchive.org/dat-ci7q9k4,[U01 Lein]
NeMO,nowakowski_evobc_proj,download,https://assets.nemoarchive.org/dat-8ht5n0a,[RF1 Nowakowski]
NeMO,nowakowski_pndev_10xv3_proj,download,https://assets.nemoarchive.org/dat-eojj32d,[RF1 Nowakowski]
NeMO,tasic_ATACseq_proj,download,https://assets.nemoarchive.org/dat-khcsjuk,[RF1 Tasic]
NeMO,tilgner_sc_10x_PB,download,https://assets.nemoarchive.org/dat-syahgjf,[RF1 Tilgner]
NeMO,zeng_anderson_sc_10xv2_proj,download,https://assets.nemoarchive.org/dat-53ke10p,[U19 Zeng]
NeMO,zeng_sc_10x_proj,download,https://assets.nemoarchive.org/dat-5ue6x8t,[U19 Zeng]
NeMO,zeng_sc_10x_proj,download,https://assets.nemoarchive.org/dat-kjseyhn,[U19 Zeng]
NeMO,zeng_sc_SSv4_proj,download,https://assets.nemoarchive.org/dat-8zpo593,"[RF1 Tasic, U19 Zeng]"
NeMO,zeng_sn_10x_proj,download,https://assets.nemoarchive.org/dat-xviiont,[U19 Zeng]
NeMO,zeng_sn_10x_proj,download,https://assets.nemoarchive.org/dat-zsm81og,[U19 Zeng]
NeMO,zeng_sn_SSv4_proj,download,https://assets.nemoarchive.org/dat-hixtgqk,[U19 Zeng]
NeMO,zhangK_snareseq,download,https://assets.nemoarchive.org/dat-jscs7dz,[U01 ZhangKun]
NeMO,zhangK_snareseq,download,https://assets.nemoarchive.org/dat-t5v43si,[U01 ZhangKun]
NeMO,zhangK_snareseq,download,https://assets.nemoarchive.org/dat-vptepqt,[U01 ZhangKun]
NeMO,zhangK_snareseq,download,https://assets.nemoarchive.org/dat-y0c2zo2,[U01 ZhangKun]
NeMO,zhangl_kz_omics_proj,download,https://assets.nemoarchive.org/dat-g4e4icw,[U01 ZhangLi]
RF1 Kim,dev_mouse_brain_ccf_proj,information,https://biccn.org/teams/rf1-kim,[RF1 Kim]
Transcriptomics Explorer,HumanM110xProj,explore,https://celltypes.brain-map.org/rnaseq/human_m1_10x,"[ACTD, U01 Lein]"
Transcriptomics Explorer,human_cortex,explore,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,"[ACTD, U01 Lein]"
NULL,chung_antibody_proj,NULL,NULL,[RF1 Chung]
NULL,dong_viral_neuron_proj,NULL,NULL,[U01 Dong]
NULL,huang_input_conn_proj,NULL,NULL,[U19 Huang]
NULL,lein_L5_pseq_proj,NULL,NULL,[U01 Lein]
NULL,lein_evo_10x_proj,NULL,NULL,[U01 Lein]
NULL,lein_human_pseq_proj,NULL,NULL,[U01 Lein]
NULL,lein_sn_SSv4_proj,NULL,NULL,[U01 Lein]
NULL,macosko_bg_multiome_proj,NULL,NULL,[U01 Macosko]
NULL,macosko_bg_shareseq_proj,NULL,NULL,[U01 Macosko]
NULL,macosko_bg_slideseq_proj,NULL,NULL,[U01 Macosko]
NULL,macosko_mouse_slideseq_proj,NULL,NULL,[RF1 Macosko]
NULL,sestan_sn_10x_proj,NULL,NULL,[U01 Sestan]
NULL,snyder-mackler_macaque_proj,NULL,NULL,[U01 Snyder-Mackler]
NULL,zhuang_dulac_merfish_MOB_proj,NULL,NULL,[U19 Zeng]
