Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
AIBS_476045503,mouse,NCBI:txid10090,,"Trib2-F2A-CreERT2,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_476045516,mouse,NCBI:txid10090,,"Sst-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_476046078,mouse,NCBI:txid10090,,"Pvalb-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_480169088,mouse,NCBI:txid10090,,"Calb2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_480643079,mouse,NCBI:txid10090,,"Slc6a5-Cre_KF109,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_484714116,mouse,NCBI:txid10090,,"Prkcd-GluCla-CFP-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_484714195,mouse,NCBI:txid10090,,"Crh-IRES-Cre_BL,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_484719694,mouse,NCBI:txid10090,,"Gal-Cre_KI87,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_484719915,mouse,NCBI:txid10090,,"Grp-Cre_KH288,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_484719924,mouse,NCBI:txid10090,,"Syt6-Cre_KI148,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_490091439,mouse,NCBI:txid10090,,"Glt25d2-Cre_NF107,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_490646990,mouse,NCBI:txid10090,,"Sim1-Cre_KJ18,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_491605040,mouse,NCBI:txid10090,,"Gpr26-Cre_KO250,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_491762167,mouse,NCBI:txid10090,,"Dlg3-Cre_KG118,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538279786,mouse,NCBI:txid10090,,"Cart-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538292049,mouse,NCBI:txid10090,,"Fezf2-CreER,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538292189,mouse,NCBI:txid10090,,"Kcng4-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538301843,mouse,NCBI:txid10090,,"Ndnf-IRES2-dgCre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538318714,mouse,NCBI:txid10090,,"Penk-IRES2-Cre-neo,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538318744,mouse,NCBI:txid10090,,"Plxnd1-CreER,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538340326,mouse,NCBI:txid10090,,Vip-IRES-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538876960,mouse,NCBI:txid10090,,Slc6a3-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538879942,mouse,NCBI:txid10090,,Slc17a7-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_538880588,mouse,NCBI:txid10090,,Rorb-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_539520718,mouse,NCBI:txid10090,,Htr3a-Cre_NO152,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_541708954,mouse,NCBI:txid10090,,"Gad2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_543135620,mouse,NCBI:txid10090,,Pdyn-T2A-CreERT2,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_545324266,mouse,NCBI:txid10090,,"Esr2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_545324291,mouse,NCBI:txid10090,,"Htr1a-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_545324356,mouse,NCBI:txid10090,,"Vipr2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_545442695,mouse,NCBI:txid10090,,Slc17a8-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_547584365,mouse,NCBI:txid10090,,Etv1-CreERT2,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_551742288,mouse,NCBI:txid10090,,"Tacr1-T2A-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_555040459,mouse,NCBI:txid10090,,PB-mCitrine_P038,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_560680998,mouse,NCBI:txid10090,,Grik4-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_560806749,mouse,NCBI:txid10090,,PB-mCitrine_P170,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_568800713,mouse,NCBI:txid10090,,Calb1-IRES2-Cre;Ai14(RCL-tdT),population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,"Calb1-IRES2-Cre,Ai14(RCL-tdT)",2018Q4,Genotype needs proper formatting and information,,
AIBS_569790752,mouse,NCBI:txid10090,,"Foxp2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
AIBS_571132251,mouse,NCBI:txid10090,,"Gnb4-IRES2-CreERT2,Ai140(TIT2L-GFP-ICL-tTA2)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,TransgenicSTPT,zeng_expr_char,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,,2018Q4,Genotype needs proper formatting and information,,
SW170928-03A,mouse,NCBI:txid10090,SW170928-03A,wt/wt,connectivity,cre-dependent anterograde tracing,CA3:MM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,CA3:MM:fail
SW171031-04A,mouse,NCBI:txid10090,SW171031-04A,wt/wt,connectivity,cre-dependent anterograde tracing,fail:ENTm1:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,fail:ENTm1:RSPv
SW171201-02A,mouse,NCBI:txid10090,SW171201-02A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180122-01A,mouse,NCBI:txid10090,SW180122-01A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:MOs
SW180301-01A,mouse,NCBI:txid10090,SW180301-01A,wt/wt,connectivity,cre-dependent anterograde tracing,PF;PCN:SSp-ul:SSp-ul,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,PF/PCN:SSp-ul:SSp-ul
SW180413-01A,mouse,NCBI:txid10090,SW180413-01A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,BLA:MOs:CP
SW180413-02A,mouse,NCBI:txid10090,SW180413-02A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:GU:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,BLA:GU:CPc.vl
SW180628-03A,mouse,NCBI:txid10090,SW180628-03A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:VISC:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,MOp:VISC:fail
SW180709-02A,mouse,NCBI:txid10090,SW180709-02A,wt/wt,connectivity,cre-dependent anterograde tracing,ILA:PL:ORBm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,ILA:PL:ORBm
SW181029-01A,mouse,NCBI:txid10090,SW181029-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SSp:GU:SNr,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SSp:GU:SNr
SW181101-03A,mouse,NCBI:txid10090,SW181101-03A,wt/wt,connectivity,cre-dependent anterograde tracing,Scig-a:RSPv:LP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,Scig-a:RSPv:LP
SW181115-01A,mouse,NCBI:txid10090,SW181115-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SNr;SNc:fail:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,SNr/SNc:fail:Cpi
SW181205-01A,mouse,NCBI:txid10090,SW181205-01A,wt/wt,connectivity,cre-dependent anterograde tracing,GPi;RT:GU:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,GPi/RT:GU:CPi-dl
SW181212-03A,mouse,NCBI:txid10090,SW181212-03A,wt/wt,connectivity,cre-dependent anterograde tracing,PTLp:PTLp:VISam,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,PTLp:PTLp:VISam
SW190110-02A,mouse,NCBI:txid10090,SW190110-02A,wt/wt,connectivity,cre-dependent anterograde tracing,BLAa:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,BLA_am:MOs:CPc.dm
SW190110-04A,mouse,NCBI:txid10090,SW190110-04A,wt/wt,connectivity,cre-dependent anterograde tracing,CP:BLAa:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,CPc.vl:BLA.al:MOp
SW190312-05A,mouse,NCBI:txid10090,SW190312-05A,wt/wt,connectivity,cre-dependent anterograde tracing,OT:BLAa:IMD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q3,,,OT:BLAam:IMD
SW190409-02A,mouse,NCBI:txid10090,SW190409-02A,wt/wt,connectivity,cre-dependent anterograde tracing,VMH:BMAp:MEApd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q3,,,VMH:BMAp:MEApd
SW190422-01A,mouse,NCBI:txid10090,SW190422-01A,wt/wt,connectivity,cre-dependent anterograde tracing,EPv:MDm:ENTl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q3,,,EPv:MDm:ENTl_1
SW190422-02A,mouse,NCBI:txid10090,SW190422-02A,wt/wt,connectivity,cre-dependent anterograde tracing,CA1:EPv:IMD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero_proj,dong_antero,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,,2019Q3,,,CA1:EPv:IMD
