Sample ID,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,Modality (CV),Method (CV),Technique (CV),Anatomical Structure (CV),Total Processed Cells,Organization (CV),Lab,Investigator,Grant Number (CV),R24 Name (CV),R24 Directory,Comments
SW180125-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,CP;SSp-ul;SSp-bfd;SSs,,University of Southern California,Dong_U01,Hong-Wei Dong,RF1 MH114112-01,BIL,./chongwei/SW180125-01A,
SW180125-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,RE;AMd;MM;RSPv,,University of Southern California,Dong_U01,Hong-Wei Dong,RF1 MH114112-01,BIL,./chongwei/SW180125-02A,
SW180125-03A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,PVT;AMd;CM;IAM;RE,,University of Southern California,Dong_U01,Hong-Wei Dong,RF1 MH114112-01,BIL,./chongwei/SW180125-03A,
SW180130-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,LPO;LHA,,University of Southern California,Dong_U01,Hong-Wei Dong,RF1 MH114112-01,BIL,./chongwei/SW180130-01A,
SW180130-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,LPO;LHA,,University of Southern California,Dong_U01,Hong-Wei Dong,RF1 MH114112-01,BIL,./chongwei/SW180130-02A,
SW180131-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,V;VII,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U01-MH114829-01,BIL,./chongwei/SW180131-02A,
SW180202-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs;CP;VPL;PF,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114821-01,BIL,./chongwei/SW180202-01A,
SW180510-01A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SSp;MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW180510-01A,
SW180510-02A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SSp-bfd;MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW180510-02A,
SW180510-03A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,SSs;MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW180510-03A,
SW180510-04A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW180510-04A,
SW180510-05A,mouse,NCBI:txid10090,Strain_Name='C57BL/6J';,Histology,Nissl,,MOs;MOp-ul,,University of Southern California,Dong_U01,Hong-Wei Dong,1-U19-MH114831-01,BIL,./chongwei/SW180510-05A,
CEMBA171206_3C,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOp,1202,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171207_3C,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOp,1271,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171212_4B,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOp,296,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171213_4B,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOp,1262,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180104_4B,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOp,1323,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171214_4D,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,CP,1106,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171219_4D,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,CP,1433,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180109_3F,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACB;SI,1059,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180129_3A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACA;ILA;PL,1385,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180130_3A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACA;ILA;PL,1291,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180119_1B,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ORB;FKP,1435,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180213_1B,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ORB;FKP,1404,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180220_2E,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,TTd;TTv;AON,1445,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180222_2E,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,TTd;TTv;AON,1253,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180205_4A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACA,1190,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180206_4A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACA,1302,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180110_4E,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACB;SI,1224,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180111_4E,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,ACB;SI,540,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180208_1C,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOB;AOB;AON,1383,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180212_1C,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOB;AOB;AON,1266,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180226_1A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOs,1367,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA180227_1A,mouse,NCBI:txid39442,,Epigenomics,snmC-seq,snmC-seq2,MOs,1101,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/methylation,
CEMBA171206_3C,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOp,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA171207_3C,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOp,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA171212_4B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOp,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA171213_4B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOp,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180104_4B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOp,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA171214_4D,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,CP,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA171219_4D,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,CP,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180105_3F,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACB;SI,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180109_3F,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACB;SI,13440,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180110_4E,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACB;SI,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180111_4E,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACB;SI,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180118_1B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ORB;FKP,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180119_1B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ORB;FKP,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180122_2A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA;PL;IL,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180123_2A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA;PL;IL,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180129_3A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA;ILA;PL,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180130_3A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA;ILA;PL,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180205_4A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180206_4A,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ACA,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180212_1C,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOB;AOB;AON,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180213_1B,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,ORB;FKP,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA180208_1C,mouse,NCBI:txid39442,,Epigenomics,snATAC-seq,,MOB;AOB;AON,15360,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/chromatin,
CEMBA17Q4_MOp_SC,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,MOp-to-SC,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA17Q4_MOp_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,MOp-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA17Q4_MOp_SSp,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,MOp-to-SSp,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA17Q4_SSp_SC,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,SSp-to-SC,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_SSp_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,SSp-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_ACA_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,ACA-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_AI_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,AI-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_AUDp_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,AUDp-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_RSP_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,RSP-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_PTLp_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,PTLp-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
CEMBA18Q1_VISp_STR,mouse,NCBI:txid39442,,Epigenomics,retrograde tracing;snmC-seq,snmC-seq2,VISp-to-STR,384,Salk Institute for Biological Studies,Ecker_U19,Joseph Ecker/Edward Callaway,1-U19-MH114831-01,NeMO,/brain/biccn/cemba/projection,
pBICCNsMMrVISPi700701RBd180325,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),VISP,6290,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrENTIi698699ETd180327,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),ENTL,1015,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrMOPi70470510Td180328,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),MOP,3433,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrMOPi70470511Bd180328,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),MOP,2701,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrMOPi70470512Bd180328a,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),MOP,1919,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrMOPi70470512Bd180328b,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),MOP,2478,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
pBICCNsMMrMOPi70470512Bd180328c,mouse,NCBI:txid10090,,Transcriptomics,snRNA-seq,Drop-Seq(10x),MOP,2196,Broad Institute of MIT,Huang_U19,Evan Macosko,1-U19-MH114821-01,NeMO,,CCF-registered by Mitra lab pipeline; FACS sorted nuclei; not yet subject to complete QC or cell-type annotation
