Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes
CEMBA180116-1_Pm4A,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180116-1_Pm5A,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180118-1_Pf4A,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180118-1_Pf5A,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180125-1_Pf3D,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,AI,nuclei,176,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180125-1_Pm3D,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,AI,nuclei,176,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180130-1_Pm10C,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,AUDd+AUDpo+AUDp+AUDv,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180130-1_Pm9D,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,AUDp+AUDv,nuclei,87,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180201-1_Pf10C,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,AUDd+AUDpo+AUDp+AUDv,nuclei,87,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180201-1_Pf9D,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,AUDp+AUDv,nuclei,87,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180206-1_Pm10A,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180206-1_Pm9A,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180213-1_Pf10A,mouse,NCBI:txid10090,CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180213-1_Pf9A,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180215-1_Pf9B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,VISam+VISa+VISd,nuclei,176,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180216-1_Pm11B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,VISp+VISI,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180216-1_Pm9B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,VISam+VISa+VISd,nuclei,176,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180220-1_Pf11B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,VISp+VISI,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180220-1_Pf12B,mouse,NCBI:txid10090,CEMBA171104_P3;CEMBA171104_P4,,epigenomics,mC-seq;retrograde tracing,VISp+VISl+VISli,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180227-1_Pm12B,mouse,NCBI:txid10090,CEMBA171104_P1;CEMBA171104_P2,,epigenomics,mC-seq;retrograde tracing,VISp+VISl+VISli,nuclei,88,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q1,
CEMBA180104-1_Bm3C,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180104-1_Bm4B,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180104-2_Bm3C,mouse,NCBI:txid10090,CEMBA171201_B3;CEMBA171201_B4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180104-2_Bm4B,mouse,NCBI:txid10090,CEMBA171201_B3;CEMBA171201_B4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180118-1_Bm4A,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180118-1_Bm5A,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180123-1_Bm3D,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,AI,nuclei,192,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180201-1_Bm10C,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,AUDd+AUDpo+AUDp+AUDv,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180201-1_Bm9D,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,AUDp+AUDv,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180208-1_Bm10A,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180208-1_Bm9A,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2,,epigenomics,mC-seq;retrograde tracing,RSP,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180216-1_Bm9B,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,epigenomics,mC-seq;retrograde tracing,VISam+VISa+VISd,nuclei,191,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180220-1_Bm11B,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,epigenomics,mC-seq;retrograde tracing,VISp+VISI,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180220-1_Bm12B,mouse,NCBI:txid10090,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,epigenomics,mC-seq;retrograde tracing,VISp+VISl+VISli,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180226-1_Cm3C,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180226-1_Cm4B,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,95,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180226-1_Cm6B,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180226-1_Cm7B,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180305-1_Cm12B,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,VISp+VISl+VISli,nuclei,95,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180306-1_Cm11B,mouse,NCBI:txid10090,CEMBA180130_C1;CEMBA180130_C2,,epigenomics,mC-seq;retrograde tracing,VISp+VISI,nuclei,95,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180315-1_Bf5A,mouse,NCBI:txid10090,CEMBA180209_B5;CEMBA180216_B7,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180319-1_Bf3D,mouse,NCBI:txid10090,CEMBA180209_B5;CEMBA180216_B7,,epigenomics,mC-seq;retrograde tracing,AI,nuclei,192,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180319-1_Bf4A,mouse,NCBI:txid10090,CEMBA180209_B5;CEMBA180216_B7,,epigenomics,mC-seq;retrograde tracing,ACA,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180326-1_Bf11B,mouse,NCBI:txid10090,CEMBA180209_B5;CEMBA180216_B7,,epigenomics,mC-seq;retrograde tracing,VISp+VISI,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180326-1_Bf12B,mouse,NCBI:txid10090,CEMBA180209_B5;CEMBA180216_B7,,epigenomics,mC-seq;retrograde tracing,VISp+VISl+VISli,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180327-1_Rm3C,mouse,NCBI:txid10090,CEMBA180219_R1;CEMBA180220_R2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,95,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180327-1_Rm4B,mouse,NCBI:txid10090,CEMBA180219_R1;CEMBA180220_R2,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180327-1_Rm6B,mouse,NCBI:txid10090,CEMBA180219_R1;CEMBA180220_R2,,epigenomics,mC-seq;retrograde tracing,SSp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180329-1_Rf3C,mouse,NCBI:txid10090,CEMBA180220_R3;CEMBA180220_R4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
CEMBA180329-1_Rf4B,mouse,NCBI:txid10090,CEMBA180220_R3;CEMBA180220_R4,,epigenomics,mC-seq;retrograde tracing,MOp,nuclei,96,Salk Institute for Biological Sciences,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NeMO,{http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/},Injection at P: STR; Dissection at 12B,2019Q2,
