Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),R24 Name (CV),R24 link,Metadata Submission,Data Collection (CV),Project (CV)
AIBS_491762167,mouse,NCBI:txid10090,,"Dlg3-Cre_KG118,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538279786,mouse,NCBI:txid10090,,"Cart-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538292049,mouse,NCBI:txid10090,,"Fezf2-CreER,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538292189,mouse,NCBI:txid10090,,"Kcng4-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538301843,mouse,NCBI:txid10090,,"Ndnf-IRES2-dgCre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538318714,mouse,NCBI:txid10090,,"Penk-IRES2-Cre-neo,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538318744,mouse,NCBI:txid10090,,"Plxnd1-CreER,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538340326,mouse,NCBI:txid10090,,Vip-IRES-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538876960,mouse,NCBI:txid10090,,Slc6a3-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538879942,mouse,NCBI:txid10090,,Slc17a7-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_538880588,mouse,NCBI:txid10090,,Rorb-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_539520718,mouse,NCBI:txid10090,,Htr3a-Cre_NO152,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_541708954,mouse,NCBI:txid10090,,"Gad2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_543135620,mouse,NCBI:txid10090,,Pdyn-T2A-CreERT2,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_545324266,mouse,NCBI:txid10090,,"Esr2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_545324291,mouse,NCBI:txid10090,,"Htr1a-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_545324356,mouse,NCBI:txid10090,,"Vipr2-IRES2-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_545442695,mouse,NCBI:txid10090,,Slc17a8-IRES2-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_547584365,mouse,NCBI:txid10090,,Etv1-CreERT2,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_551742288,mouse,NCBI:txid10090,,"Tacr1-T2A-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_555040459,mouse,NCBI:txid10090,,PB-mCitrine_P038,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_560680998,mouse,NCBI:txid10090,,Grik4-Cre,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_560806749,mouse,NCBI:txid10090,,PB-mCitrine_P170,population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_568800713,mouse,NCBI:txid10090,,Calb1-IRES2-Cre;Ai14(RCL-tdT),population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_569790752,mouse,NCBI:txid10090,,"Foxp2-IRES-Cre,Ai14(RCL-tdT)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
AIBS_571132251,mouse,NCBI:txid10090,,"Gnb4-IRES2-CreERT2,Ai140(TIT2L-GFP-ICL-tTA2)",population imaging,STPT,,brains,1,Allen Institute for Brain Science,Hongkui Zeng,1U19MH114830-01,BIL,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,2018Q4,zeng_expr_char,TransgenicSTPT
SW170928-03A,mouse,NCBI:txid10090,SW170928-03A,wt/wt,connectivity,cre-dependent anterograde tracing,CA3:MM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW171031-04A,mouse,NCBI:txid10090,SW171031-04A,wt/wt,connectivity,cre-dependent anterograde tracing,fail:ENTm1:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW171201-02A,mouse,NCBI:txid10090,SW171201-02A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2018Q4,dong_antero,dong_antero_proj
SW180122-01A,mouse,NCBI:txid10090,SW180122-01A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2018Q4,dong_antero,dong_antero_proj
SW180301-01A,mouse,NCBI:txid10090,SW180301-01A,wt/wt,connectivity,cre-dependent anterograde tracing,PF;PCN:SSp-ul:SSp-ul,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW180413-01A,mouse,NCBI:txid10090,SW180413-01A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW180413-02A,mouse,NCBI:txid10090,SW180413-02A,wt/wt,connectivity,cre-dependent anterograde tracing,BLA:GU:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW180628-03A,mouse,NCBI:txid10090,SW180628-03A,wt/wt,connectivity,cre-dependent anterograde tracing,MOp:VISC:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW180709-02A,mouse,NCBI:txid10090,SW180709-02A,wt/wt,connectivity,cre-dependent anterograde tracing,ILA:PL:ORBm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW181029-01A,mouse,NCBI:txid10090,SW181029-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SSp:GU:SNr,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW181101-03A,mouse,NCBI:txid10090,SW181101-03A,wt/wt,connectivity,cre-dependent anterograde tracing,Scig-a:RSPv:LP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW181115-01A,mouse,NCBI:txid10090,SW181115-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SNr;SNc:fail:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW181205-01A,mouse,NCBI:txid10090,SW181205-01A,wt/wt,connectivity,cre-dependent anterograde tracing,GPi;RT:GU:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW181212-03A,mouse,NCBI:txid10090,SW181212-03A,wt/wt,connectivity,cre-dependent anterograde tracing,PTLp:PTLp:VISam,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW190110-02A,mouse,NCBI:txid10090,SW190110-02A,wt/wt,connectivity,cre-dependent anterograde tracing,BLAa:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW190110-04A,mouse,NCBI:txid10090,SW190110-04A,wt/wt,connectivity,cre-dependent anterograde tracing,CP:BLAa:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q1,dong_antero,dong_antero_proj
SW190312-05A,mouse,NCBI:txid10090,SW190312-05A,wt/wt,connectivity,cre-dependent anterograde tracing,OT:BLAa:IMD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190409-02A,mouse,NCBI:txid10090,SW190409-02A,wt/wt,connectivity,cre-dependent anterograde tracing,VMH:BMAp:MEApd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190422-01A,mouse,NCBI:txid10090,SW190422-01A,wt/wt,connectivity,cre-dependent anterograde tracing,EPv:MDm:ENTl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190422-02A,mouse,NCBI:txid10090,SW190422-02A,wt/wt,connectivity,cre-dependent anterograde tracing,CA1:EPv:IMD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190422-03A,mouse,NCBI:txid10090,SW190422-03A,wt/wt,connectivity,cre-dependent anterograde tracing,ALv:PIR:TEa,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190503-01A,mouse,NCBI:txid10090,SW190503-01A,wt/wt,connectivity,cre-dependent anterograde tracing,SCig:ACAd:VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190503-04A,mouse,NCBI:txid10090,SW190503-04A,wt/wt,connectivity,cre-dependent anterograde tracing,TTd:AI:AUDv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190507-09A,mouse,NCBI:txid10090,SW190507-09A,wt/wt,connectivity,cre-dependent anterograde tracing,TTd:RE:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190509-07A,mouse,NCBI:txid10090,SW190509-07A,wt/wt,connectivity,cre-dependent anterograde tracing,PIR:AUDv:DP;TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190509-08A,mouse,NCBI:txid10090,SW190509-08A,wt/wt,connectivity,cre-dependent anterograde tracing,CLA:AUDv:TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190509-09A,mouse,NCBI:txid10090,SW190509-09A,wt/wt,connectivity,cre-dependent anterograde tracing,fail:RSPd:SCig;RSPd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190509-10A,mouse,NCBI:txid10090,SW190509-10A,wt/wt,connectivity,cre-dependent anterograde tracing,SSp:RSPd:SCig,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190614-01A,mouse,NCBI:txid10090,SW190614-01A,wt/wt,connectivity,cre-dependent anterograde tracing,VM:MOp:SCig,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q4,dong_antero,dong_antero_proj
SW190620-01A,mouse,NCBI:txid10090,SW190620-01A,wt/wt,connectivity,cre-dependent anterograde tracing,BSTal:MEAav:COApl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190625-01A,mouse,NCBI:txid10090,SW190625-01A,wt/wt,connectivity,cre-dependent anterograde tracing,BST:ALv:NLOT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
SW190626-02A,mouse,NCBI:txid10090,SW190626-02A,wt/wt,connectivity,cre-dependent anterograde tracing,TTd:fail:PH,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,BIL,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,2019Q3,dong_antero,dong_antero_proj
