sample_id,sample_type,donor_id,legacy_id,Organism Type (CV),Organism NCBI Taxonomy ID,Transgenic Line Information,experiment_id,sample_id,modality,method,technique,modality.method.technique,Anatomical Structure (CV),Total Processed Cells,Organization (CV),organization,team_name,investigator,grant_number,data_archive,Public R24 directory,Public R24 file path,file_location,Desired ID,,BIL legacy.ID,legacy_id,legacy_modality,legacy_method,legacy_technique,Release,,,,,,,
SW171117-01A,whole brain,SW171117-01A,SW171117-01A,mouse,NCBI:txid10090,,biccn:experiments:20,SW171117-01A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171117-01A,./chongwei/SW171117-01A,,,,SW171117-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW171117-02A,whole brain,SW171117-02A,SW171117-02A,mouse,NCBI:txid10090,,biccn:experiments:21,SW171117-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171117-02A,./chongwei/SW171117-02A,,,,SW171117-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW171117-03A,whole brain,SW171117-03A,SW171117-03A,mouse,NCBI:txid10090,,biccn:experiments:22,SW171117-03A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171117-03A,./chongwei/SW171117-03A,,,,SW171117-03A,Histology,Nissl,,Q3 2018,,,,,,,
SW171117-04A,whole brain,SW171117-04A,SW171117-04A,mouse,NCBI:txid10090,,biccn:experiments:23,SW171117-04A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171117-04A,./chongwei/SW171117-04A,,,,SW171117-04A,Histology,Nissl,,Q3 2018,,,,,,,
SW171205-01A,whole brain,SW171205-01A,SW171205-01A,mouse,NCBI:txid10090,,biccn:experiments:30,SW171205-01A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171205-01A,./chongwei/SW171205-01A,,,,SW171205-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW171221-01A,whole brain,SW171221-01A,SW171221-01A,mouse,NCBI:txid10090,,biccn:experiments:33,SW171221-01A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171221-01A,./chongwei/SW171221-01A,,,,SW171221-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW171221-02A,whole brain,SW171221-02A,SW171221-02A,mouse,NCBI:txid10090,,biccn:experiments:34,SW171221-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171221-02A,./chongwei/SW171221-02A,,,,SW171221-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW171221-03A,whole brain,SW171221-03A,SW171221-03A,mouse,NCBI:txid10090,,biccn:experiments:35,SW171221-03A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171221-03A,./chongwei/SW171221-03A,,,,SW171221-03A,Histology,Nissl,,Q3 2018,,,,,,,
SW171221-04A,whole brain,SW171221-04A,SW171221-04A,mouse,NCBI:txid10090,,biccn:experiments:36,SW171221-04A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171221-04A,./chongwei/SW171221-04A,,,,SW171221-04A,Histology,Nissl,,Q3 2018,,,,,,,
SW180131-02A,whole brain,SW180131-02A,SW180131-02A,mouse,NCBI:txid10090,,biccn:experiments:42,SW180131-02A,connectivity,retrograde tracing,quadruple injection,connectivity.retrograde tracing.quadruple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW180131-02A,./chongwei/SW180131-02A,,,,SW180131-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW171116-01A,whole brain,SW171116-01A,SW171116-01A,mouse,NCBI:txid10090,,biccn:experiments:16,SW171116-01A,connectivity,retrograde tracing,triple injection,connectivity.retrograde tracing.triple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171116-01A,./chongwei/SW171116-01A,,,,SW171116-01A,Histology,Nissl,,Q3 2018,,,,,,,
SW171116-02A,whole brain,SW171116-02A,SW171116-02A,mouse,NCBI:txid10090,,biccn:experiments:17,SW171116-02A,connectivity,retrograde tracing,triple injection,connectivity.retrograde tracing.triple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171116-02A,./chongwei/SW171116-02A,,,,SW171116-02A,Histology,Nissl,,Q3 2018,,,,,,,
SW171116-03A,whole brain,SW171116-03A,SW171116-03A,mouse,NCBI:txid10090,,biccn:experiments:18,SW171116-03A,connectivity,retrograde tracing,triple injection,connectivity.retrograde tracing.triple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171116-03A,./chongwei/SW171116-03A,,,,SW171116-03A,Histology,Nissl,,Q3 2018,,,,,,,
SW171116-04A,whole brain,SW171116-04A,SW171116-04A,mouse,NCBI:txid10090,,biccn:experiments:19,SW171116-04A,connectivity,retrograde tracing,triple injection,connectivity.retrograde tracing.triple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171116-04A,./chongwei/SW171116-04A,,,,SW171116-04A,Histology,Nissl,,Q3 2018,,,,,,,
SW171205-02A,whole brain,SW171205-02A,SW171205-02A,mouse,NCBI:txid10090,,biccn:experiments:31,SW171205-02A,connectivity,retrograde tracing,triple injection,connectivity.retrograde tracing.triple injection,,#N/A,,,U01 Dong,Hong-Wei Dong,1-U01-MH114829-01,BIL,ftp://download.brainimagelibrary.org:8811/84/c1/,ftp://download.brainimagelibrary.org:8811/84/c1/84c11fe5e4550ca0/SW171205-02A,./chongwei/SW171205-02A,,,,SW171205-02A,Histology,Nissl,,Q3 2018,,,,,,,
CS20_frontal,,,CS20_frontal,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,Frontal cortex,0,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS20;Donor_Age(unit):20(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS20_thalamus,,,CS20_thalamus,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,thalamus,0,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS20;Donor_Age(unit):20(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1798_BA24,,,1798_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,185,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1798;Donor_Age(unit):1.8(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1453_INS,,,1453_INS,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Insular cortex,377,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1453;Donor_Age(unit):1.2(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
GW22T_PFC,,,GW22T_PFC,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,Prefrontal cortex,493,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: GW22T;Donor_Age(unit):22(gestational weeks);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS15_midbrain,,,CS15_midbrain,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,midbrain,667,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS15;Donor_Age(unit):15(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1823_BA24,,,1823_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,1102,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1823;Donor_Age(unit):15(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
5608_INS,,,5608_INS,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Insular cortex,1157,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 5608;Donor_Age(unit):3.5(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
5608_BA9,,,5608_BA9,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Prefrontal cortex,1225,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: 5608;Donor_Age(unit):3.5(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1798_INS,,,1798_INS,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Insular cortex,1238,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1798;Donor_Age(unit):1.8(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS14_hindbrain,,,CS14_hindbrain,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,hindbrain,1364,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS14;Donor_Age(unit):14(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
GW19_V1_CP,,,GW19_V1_CP,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,V1,1376,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: GW19;Donor_Age(unit):19(gestational weeks);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1453_BA24,,,1453_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,1395,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1453;Donor_Age(unit):1.2(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
5976_BA9,,,5976_BA9,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Prefrontal cortex,1403,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 5976;Donor_Age(unit):4(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS14_cortex,,,CS14_cortex,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,forebrain (prosencephalon),1419,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS14;Donor_Age(unit):14(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
1791_BA24,,,1791_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,1632,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 1791;Donor_Age(unit):2.7(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS15_hindbrain,,,CS15_hindbrain,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,hindbrain,1720,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS15;Donor_Age(unit):15(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
GW19_M1_CP,,,GW19_M1_CP,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,motor cortex,1737,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: GW19;Donor_Age(unit):19(gestational weeks);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS22_PFC,,,CS22_PFC,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,Prefrontal cortex,1799,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS22;Donor_Age(unit):22(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS14_retina,,,CS14_retina,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,optic cup,1850,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: CS14;Donor_Age(unit):14(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
5879_PFC,,,5879_PFC,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Prefrontal cortex,1878,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: 5879;Donor_Age(unit):15(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
4670_BA24,,,4670_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,1957,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 4670;Donor_Age(unit):4.7(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
5163_BA24,,,5163_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,2016,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: 5163;Donor_Age(unit):14(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
CS13_olfactory_placode,,,CS13_olfactory_placode,human,NCBI:txid9606,,,,transcriptomics,scRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.scRNA-seq.10x Chromium 3' v2 sequencing,olfactory placode,2033,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,,,,,"Sequencing_technology: 'Illumina, NovaSeq6000';Donor_ID: CS13;Donor_Age(unit):13(carnegie stage);Donor_Lifestage:'prenatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
6032_BA24,,,6032_BA24,human,NCBI:txid9606,,,,transcriptomics,snRNA-seq,10x Chromium 3' v2 sequencing,transcriptomics.snRNA-seq.10x Chromium 3' v2 sequencing,Brodmann area 24,2108,University of California San Francisco,,U01 Kriegstein,Arnold Kriegstein,1-U01-MH114825-01,NeMO,,,sncell,,,,"Sequencing_technology: 'Illumina, HiSeq2500';Donor_ID: 6032;Donor_Age(unit):4(years);Donor_Lifestage:'postnatal';Library_Construction_Method:'10X v2'",,,Drop-Seq(10x),Q4 2018,,,,,,,
