SW170928-04A,mouse,NCBI:txid10090,SW170928-04A,wt/wt,connectivity,retrograde tracing,RE:RSPv:SC,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW171016-01A,mouse,NCBI:txid10090,SW171016-01A,wt/wt,connectivity,retrograde tracing,AD:AV:AM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW171016-02A,mouse,NCBI:txid10090,SW171016-02A,wt/wt,connectivity,retrograde tracing,dhc:AV:AD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW171031-04A,mouse,NCBI:txid10090,SW171031-04A,,connectivity,cre-dependent anterograde tracing,fail:ENTm1:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW171116-01A,mouse,NCBI:txid10090,SW171116-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_triple,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/triple/},,2018Q3,Missing injection structures,,,,,,,,,
SW171116-02A,mouse,NCBI:txid10090,SW171116-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_triple,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/triple/},,2018Q3,Missing injection structures,,,,,,,,,
SW171116-03A,mouse,NCBI:txid10090,SW171116-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_triple,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/triple/},,2018Q3,Missing injection structures,,,,,,,,,
SW171116-04A,mouse,NCBI:txid10090,SW171116-04A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_triple,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/triple/},,2018Q3,Missing injection structures,,,,,,,,,
SW171117-01A,mouse,NCBI:txid10090,SW171117-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171117-02A,mouse,NCBI:txid10090,SW171117-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171117-03A,mouse,NCBI:txid10090,SW171117-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171117-04A,mouse,NCBI:txid10090,SW171117-04A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171201-02A,mouse,NCBI:txid10090,SW171201-02A,,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW171205-01A,mouse,NCBI:txid10090,SW171205-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171205-02A,mouse,NCBI:txid10090,SW171205-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_triple,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/triple/},,2018Q3,Missing injection structures,,,,,,,,,
SW171221-01A,mouse,NCBI:txid10090,SW171221-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171221-02A,mouse,NCBI:txid10090,SW171221-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171221-03A,mouse,NCBI:txid10090,SW171221-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2018Q3,Missing injection structures,,,,,,,,,
SW171221-04A,mouse,NCBI:txid10090,SW171221-04A,wt/wt,connectivity,retrograde tracing,CP:SSp-ul:SSp-bfd:SSs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},Represented in 2 projects,2018Q3,Represented in 2 projects,,,,,,,,,
SW180122-01A,mouse,NCBI:txid10090,SW180122-01A,,connectivity,cre-dependent anterograde tracing,MOp:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2018Q4,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180131-01A,mouse,NCBI:txid10090,SW180131-01A,wt/wt,connectivity,retrograde tracing,PPN:fail:V:PNRc,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180131-02A,mouse,NCBI:txid10090,SW180131-02A,wt/wt,connectivity,retrograde tracing,PPN:PBscp:SUT/PRNc:PARN,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180201-01A,mouse,NCBI:txid10090,SW180201-01A,wt/wt,connectivity,retrograde tracing,ICe:V:ISN:VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180201-02A,mouse,NCBI:txid10090,SW180201-02A,wt/wt,connectivity,retrograde tracing,CUN:fail:PARN/LRN:XII(c),brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180301-01A,mouse,NCBI:txid10090,SW180301-01A,,connectivity,cre-dependent anterograde tracing,PF/PCN:SSp-ul:SSp-ul,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180329-01A,mouse,NCBI:txid10090,SW180329-01A,wt/wt,connectivity,retrograde tracing,SSp:CP:SSs:MOs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180413-01A,mouse,NCBI:txid10090,SW180413-01A,,connectivity,cre-dependent anterograde tracing,BLA:MOs:CP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180413-02A,mouse,NCBI:txid10090,SW180413-02A,,connectivity,cre-dependent anterograde tracing,BLA:GU:CPc.vl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180517-04A,mouse,NCBI:txid10090,SW180517-04A,wt/wt,connectivity,retrograde tracing,SSp-ul:SSp-ll:SSp-ul:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180611-01A,mouse,NCBI:txid10090,SW180611-01A,wt/wt,connectivity,retrograde transsynaptic tracing,CPi,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180612-02A,mouse,NCBI:txid10090,SW180612-02A,wt/wt,connectivity,retrograde tracing,ORBi:PTLp:VISam:LH,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180621-02A,mouse,NCBI:txid10090,SW180621-02A,wt/wt,connectivity,retrograde tracing,ORBl:MOs:CPc:SMT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180621-03A,mouse,NCBI:txid10090,SW180621-03A,wt/wt,connectivity,retrograde tracing,CM:LPO:ACAd:ACAd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180628-01A,mouse,NCBI:txid10090,SW180628-01A,wt/wt,connectivity,retrograde transsynaptic tracing,PRNc:PRNc:CEAm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180628-03A,mouse,NCBI:txid10090,SW180628-03A,,connectivity,cre-dependent anterograde tracing,MOp:VISC:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180709-02A,mouse,NCBI:txid10090,SW180709-02A,,connectivity,cre-dependent anterograde tracing,ILA:PL:ORBm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180716-02A,mouse,NCBI:txid10090,SW180716-02A,wt/wt,connectivity,retrograde tracing,TTd:NDB:NDB(v):LPO,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180716-03A,mouse,NCBI:txid10090,SW180716-03A,wt/wt,connectivity,retrograde tracing,RE:MDm:SMT:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180716-04A,mouse,NCBI:txid10090,SW180716-04A,wt/wt,connectivity,retrograde tracing,RE:MDm:SMT:TTd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180725-02A,mouse,NCBI:txid10090,SW180725-02A,wt/wt,connectivity,retrograde tracing,LHA:VM:AMv:VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180725-03A,mouse,NCBI:txid10090,SW180725-03A,wt/wt,connectivity,retrograde tracing,VTA: PBNle:NDB:MA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180727-01A,mouse,NCBI:txid10090,SW180727-01A,wt/wt,connectivity,retrograde tracing,ORBm:PL:DP/ILA:ACAd/PL,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180925-01A,mouse,NCBI:txid10090,SW180925-01A,wt/wt,connectivity,retrograde tracing,LSc:LSc:BSTal:AAA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180925-02A,mouse,NCBI:txid10090,SW180925-02A,wt/wt,connectivity,retrograde tracing,cc:LSc:BSTfu:AAA,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180925-03A,mouse,NCBI:txid10090,SW180925-03A,wt/wt,connectivity,retrograde tracing,VISam:CA1:fp:BSTov,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180925-04A,mouse,NCBI:txid10090,SW180925-04A,wt/wt,connectivity,retrograde tracing,CA1:CA1:SSp:BSTov,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180926-01A,mouse,NCBI:txid10090,SW180926-01A,wt/wt,connectivity,retrograde tracing,PL:CPcdm:CP:MEAad,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180926-03A,mouse,NCBI:txid10090,SW180926-03A,wt/wt,connectivity,retrograde tracing,mOT:mOT:BSTov:NLOT,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW180927-01A,mouse,NCBI:txid10090,SW180927-01A,wt/wt,connectivity,retrograde tracing,MRN:CP:ZI:SC,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181026-01A,mouse,NCBI:txid10090,SW181026-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,,,2019Q3,,,,,,,,,,
SW181029-01A,mouse,NCBI:txid10090,SW181029-01A,,connectivity,cre-dependent anterograde tracing,SSp:GU:SNr,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181030-03A,mouse,NCBI:txid10090,SW181030-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,,,2019Q3,,,,,,,,,,
SW181031-01A,mouse,NCBI:txid10090,SW181031-01A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,,,2019Q3,,,,,,,,,,
SW181101-03A,mouse,NCBI:txid10090,SW181101-03A,,connectivity,cre-dependent anterograde tracing,Scig-a:RSPv:LP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181105-01A,mouse,NCBI:txid10090,SW181105-01A,wt/wt,connectivity,retrograde tracing,MOp:SSP:SSp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181105-02A,mouse,NCBI:txid10090,SW181105-02A,wt/wt,connectivity,retrograde tracing,MOp:SSP:SSp:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181105-03A,mouse,NCBI:txid10090,SW181105-03A,wt/wt,connectivity,retrograde tracing,SSp:SSp:SSp:SSp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181115-01A,mouse,NCBI:txid10090,SW181115-01A,,connectivity,cre-dependent anterograde tracing,SNr/SNc:fail:Cpi,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181116-03A,mouse,NCBI:txid10090,SW181116-03A,wt/wt,connectivity,retrograde transsynaptic tracing,POST:SUBdd:SUBdv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181130-01A,mouse,NCBI:txid10090,SW181130-01A,wt/wt,connectivity,retrograde tracing,MOp:ACB:SSs:CEAc,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181130-02A,mouse,NCBI:txid10090,SW181130-02A,wt/wt,connectivity,retrograde tracing,PBmm:LAV:CM:fail,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/retrograde/quad/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181205-01A,mouse,NCBI:txid10090,SW181205-01A,,connectivity,cre-dependent anterograde tracing,GPi/RT:GU:CPi-dl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW181212-03A,mouse,NCBI:txid10090,SW181212-03A,,connectivity,cre-dependent anterograde tracing,PTLp:PTLp:VISam,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW190110-02A,mouse,NCBI:txid10090,SW190110-02A,,connectivity,cre-dependent anterograde tracing,BLA_am:MOs:CPc.dm,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW190110-04A,mouse,NCBI:txid10090,SW190110-04A,,connectivity,cre-dependent anterograde tracing,CPc.vl:BLA.al:MOp,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,{ftp://download.brainimagelibrary.org:8811/biccn/dong/anterograde/triple/},,2019Q1,Injection structure names not yet reconciled to ontology; format needs to be resolved,,,,,,,,,
SW190207-04A,mouse,NCBI:txid10090,SW190207-04A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,,,2019Q3,,,,,,,,,,
SW190312-05A,mouse,NCBI:txid10090,SW190312-05A,,connectivity,cre-dependent anterograde tracing,OT:BLAam:IMD,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_antero,BIL,,,2019Q3,,,,,,,,,,
SW190321-02A,mouse,NCBI:txid10090,SW190321-02A,wt/wt,connectivity,TRIO tracing,LHA:DP:DP,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,,,,,,,,
SW190321-05A,mouse,NCBI:txid10090,SW190321-05A,wt/wt,connectivity,TRIO tracing,fail:IAM:DP_2/3,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_trio,BIL,,,2019Q3,,,,,,,,,,
SW190328-04A,mouse,NCBI:txid10090,SW190328-04A,wt/wt,connectivity,retrograde tracing,VM:AV:PG:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro_quad,BIL,,,2019Q3,,,,,,,,,,
