Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
CEMBA180110-1_Pm6B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180110-1_Pm7B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180116-1_Pm4A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180116-1_Pm5A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180118-1_Bm4A,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180118-1_Bm5A,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180118-1_Pf4A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180123-1_Bm3D,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180125-1_Pm3D,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,176,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180130-1_Pm10C,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180130-1_Pm9D,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,87,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180201-1_Bm10C,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180201-1_Bm9D,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180201-1_Pf9D,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,87,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180206-1_Pm10A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180206-1_Pm9A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180208-1_Bm10A,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180208-1_Bm9A,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180213-1_Pf9A,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180215-1_Pf9B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,176,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180216-1_Bm9B,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,191,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180216-1_Pm11B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P1;CEMBA171104_P2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180220-1_Bm11B,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180220-1_Bm12B,specimen,mouse,NCBI:txid10090,,,CEMBA171201_B1;CEMBA171201_B2;CEMBA171201_B3;CEMBA171201_B4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180220-1_Pf11B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180220-1_Pf12B,specimen,mouse,NCBI:txid10090,,,CEMBA171104_P3;CEMBA171104_P4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,88,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q1
CEMBA180226-1_Cm3C,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180226-1_Cm4B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180226-1_Cm6B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180226-1_Cm7B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180227-1_Cm3D,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AI,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180301-1_Cm10C,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDd;AUDpo;AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180301-1_Cm9D,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180305-1_Cm10A,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180305-1_Cm12B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISl;VISli,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180305-1_Cm9A,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180306-1_Cm11B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180306-1_Cm9B,specimen,mouse,NCBI:txid10090,,,CEMBA180130_C1;CEMBA180130_C2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISam;VISa;VIS,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180315-1_Bf3C,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,192,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180315-1_Bf5A,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,ACA,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180319-1_Bf9D,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,AUDp;AUDv,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180326-1_Bf11B,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,VISp;VISI,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180326-1_Bf9A,specimen,mouse,NCBI:txid10090,,,CEMBA180209_B5;CEMBA180216_B7,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,RSP,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180327-1_Rm3C,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,95,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180327-1_Rm4B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180327-1_Rm6B,specimen,mouse,NCBI:txid10090,,,CEMBA180219_R1;CEMBA180220_R2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180329-1_Rf3C,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180329-1_Vm3C,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180402-1_Vf3C,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180402-1_Vf4B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V3;CEMBA180301_V4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,MOp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180403-1_Vm6B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180403-1_Vm7B,specimen,mouse,NCBI:txid10090,,,CEMBA180228_V1;CEMBA180228_V2,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180405-1_Rf6B,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
CEMBA180405-1_Rf7B,specimen,mouse,NCBI:txid10090,,,CEMBA180220_R3;CEMBA180220_R4,,,wt/wt,epigenomics,mC-seq2;retrograde tracing,SSp,cell nucleus,96,Salk Institute for Biological Studies,Joseph Ecker; Ed Callaway,1U19MH114831-01,ecker_sn_mCseq_retro,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,,2019Q2
