project_reference_id,data_collection_reference_id,priority_order
huang_pn_proj,huang_pn_bulk_SSv4,0
huang_pn_proj,huang_pn_sn_10xv2,1
huang_pn_proj,huang_pn_sn_10xv3,2
huang_retro_proj,huang_retro,0
huang_sn_10xv2_proj,huang_sn_10xv2,0
huang_stpt_conn_proj,huang_stpt_conn,0
huang_stpt_count_proj,huang_stpt_count,0
human_cerebellum_proj,human_cerebellum_sn_RNA,0
human_cerebellum_proj,human_cerebellum_sn_ATAC,1
human_cortex,human_cortex_SS4_Open_GRU,0
human_cortex,human_cortex_SS4_counts,1
human_cortex,human_cortex_SS4_restricted_GRU,2
human_cortex,human_cortex_SS4_restricted_limited,3
HumanM110xProj,HumanM110x,0
HumanPSeqL23Proj,HumanPSeqL23_E,0
HumanPSeqL23Proj,HumanPSeqL23_M,1
HumanPSeqL23Proj,HumanPSeqL23_T,2
kriegstein_sc_10x_proj,kriegstein_sc_10xv2,0
kriegstein_sc_10x_proj,kriegstein_sc_10xv3,1
kriegstein_sc_ATACseq_proj,kriegstein_sc_ATACseq,0
kriegstein_sc_multiome_proj,kriegstein_sc_multiome,0
kriegstein_sn_10x_proj,kriegstein_sn_10xv2,0
kriegstein_spatial_proj,kriegstein_spatial,0
lein_evo_10x_proj,lein_evo_10x_arcticgroundsquirrel,0
lein_evo_10x_proj,lein_evo_10x_armadillo,1
lein_evo_10x_proj,lein_evo_10x_baboon,2
lein_evo_10x_proj,lein_evo_10x_cat,3
lein_evo_10x_proj,lein_evo_10x_chimp,4
lein_evo_10x_proj,lein_evo_10x_coyote,5
lein_evo_10x_proj,lein_evo_10x_ferret,6
lein_evo_10x_proj,lein_evo_10x_galago,7
lein_evo_10x_proj,lein_evo_10x_gorilla,8
lein_evo_10x_proj,lein_evo_10x_greenmonkey,9
lein_evo_10x_proj,lein_evo_10x_nemestrina,10
lein_evo_10x_proj,lein_evo_10x_opposum,11
lein_evo_10x_proj,lein_evo_10x_owlmonkey,12
lein_evo_10x_proj,lein_evo_10x_pig,13
lein_evo_10x_proj,lein_evo_10x_rabbit,14
lein_evo_10x_proj,lein_evo_10x_rat,15
lein_evo_10x_proj,lein_evo_10x_rhesus,16
lein_evo_10x_proj,lein_evo_10x_squirrel_monkey,17
lein_evo_10x_proj,lein_evo_10x_treeshrew,18
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_arctic_ground_squirrel,0
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_armadillo,1
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_greenmonkey,2
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_nemestrina,3
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_opossum,4
lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_squirrel_monkey,5
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_human,0
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_chimpanzee,1
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_gorilla,2
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_rhesus,3
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_marmoset,4
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_human,5
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_chimpanzee,6
lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_gorilla,7
lein_hmba_nhp_pseq,lein_hmba_nhp_pseq_e,0
lein_hmba_nhp_pseq,lein_hmba_nhp_pseq_m,1
lein_hmba_nhp_pseq,lein_hmba_nhp_pseq_t,2
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_MTG,0
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_L5_controlled,1
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_ACC,2
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_M1,3
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_S1,4
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_A1,5
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_V1,6
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_ANG,7
lein_human_cross-areal_10x_proj,lein_human_cross-areal_10x_DLPFC,8
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_MTG,9
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_ACC,10
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_M1,11
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_S1,12
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_A1,13
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_V1,14
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_ANG,15
lein_human_cross-areal_10x_proj,lein_human_cross-areal_SSv4_DLPFC,16
lein_human_pseq_proj,lein_human_pseq_e,0
lein_human_pseq_proj,lein_human_pseq_m,1
lein_human_pseq_proj,lein_human_pseq_t,2
lein_L5_pseq_proj,lein_L5_pseq_e,0
lein_L5_pseq_proj,lein_L5_pseq_m,1
lein_L5_pseq_proj,lein_L5_pseq_t,2
lein_sn_10x,lein_sn_10xv2,0
lein_sn_10x,lein_sn_10xv3,1
lein_sn_hippocampus_proj,lein_sn_hippocampus,0
lein_sn_SSv4_proj,lein_sn_SSv4,0
macosko_bg_multiome_proj,macosko_bg_multiome_atac_human,0
macosko_bg_multiome_proj,macosko_bg_multiome_atac_macaque,1
macosko_bg_multiome_proj,macosko_bg_multiome_gex_human,2
macosko_bg_multiome_proj,macosko_bg_multiome_gex_macaque,3
macosko_bg_shareseq_proj,macosko_bg_shareseq_macaque,0
macosko_bg_slideseq_proj,macosko_bg_slideseq_histologydataset_human,0
macosko_bg_slideseq_proj,macosko_bg_slideseq_histologydataset_macaque,1
macosko_bg_slideseq_proj,macosko_bg_slideseq_human,2
macosko_bg_slideseq_proj,macosko_bg_slideseq_macaque,3
macosko_bg_wgs_proj,macosko_bg_wgs_human,0
macosko_mouse_slideseq_proj,macosko_mouse_slideseq_histologydataset,0
macosko_mouse_slideseq_proj,macosko_mouse_slideseq_slideseqdataset,1
mop_evo_tx_epi_pseq_proj,mop_evo_pseq_e,0
mop_evo_tx_epi_pseq_proj,mop_evo_pseq_hu_t,1
mop_evo_tx_epi_pseq_proj,mop_evo_pseq_m,2
mop_evo_tx_epi_pseq_proj,mop_evo_pseq_t,3
mueller_mouselight_proj,mueller_mouselight,0
nowakowski_evobc_proj,nowakowski_evobc,0
nowakowski_pndev_10xv3_proj,nowakowski_pndev_10xv3,0
osten_ls_proj,osten_ls,0
osten_stpt_proj,osten_stpt,0
regev_cisi_proj,regev_cisi,0
ren_pairedtag_proj,ren_pairedtag_human_DNA,0
ren_pairedtag_proj,ren_pairedtag_human_RNA,1
ren_pairedtag_proj,ren_pairedtag_mouse_adult_DNA,2
ren_pairedtag_proj,ren_pairedtag_mouse_adult_RNA,3
ren_pairedtag_proj,ren_pairedtag_mouse_dev_DNA,4
ren_pairedtag_proj,ren_pairedtag_mouse_dev_RNA,5
roussos_multiome_proj,roussos_hu_multiome_atac,0
roussos_multiome_proj,roussos_hu_multiome_gex,1
roussos_multiome_proj,roussos_hu_multiome_seqfish,2
sestan_sn_10x_proj,sestan_multiome_10x_human,0
sestan_sn_10x_proj,sestan_multiome_10x_nhp,1
sestan_sn_10x_proj,sestan_sn_10xv3_human,2
sestan_sn_10x_proj,sestan_sn_10xv3_nhp_adult,3
sestan_sn_10x_proj,sestan_sc_10xv3_nhp_dev,4
sestan_sn_10x_proj,sestan_sn_10xv3_pig,5
sestan_sn_10x_proj,sestan_sn_10xv3_nhp_adult_pfc,6
sestan_sn_10x_proj,sestan_sn_10xv3_human_pfc,7
sestan_sn_10x_proj,sestan_sc_10xv2_nhp_dev,8
shepherd_rnafish_proj,shepherd_rnafish_rna,0
siletti_abca_proj,siletti_abca_10x,0
snyder-mackler_macaque_proj,snyder-mackler_macaque_scATAC,0
snyder-mackler_macaque_proj,snyder-mackler_macaque_scRNA,1
tasic_ATACseq_proj,tasic_ATACseq,0
tasic_sc_SSv4_proj,tasic_sc_SSv4,0
tasic_stpt_proj,tasic_stpt,0
tilgner_scisorseq,tilgner_10x_scRNA,0
tilgner_scisorseq,tilgner_sc_ONT,1
tilgner_scisorseq,tilgner_sc_pb,2
tilgner_snisorseq_human,tilgner_human_10x_snRNA,0
tilgner_snisorseq_human,tilgner_human_sn_ont,1
TransgenicSTPT,zeng_expr_char,0
yang_MORF_confocal_proj,yang_MORF_confocal,0
yang_MORF_confocal_proj,yang_morf_cells,1
zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,0
zeng_anderson_sc_10xv3_proj,zeng_anderson_sc_10xv3,0
zeng_fmost_proj,zeng_fmost,0
zeng_fmost_proj,zeng_fmost_cells,1
zeng_mouselight_proj,zeng_mouselight,0
zeng_multiome_10x_proj,zeng_multiome_ATACseq,0
zeng_multiome_10x_proj,zeng_multiome_RNAseq,1
zeng_retro_proj,zeng_retro,0
zeng_sc_10x_proj,zeng_sc_10xv2,0
zeng_sc_10x_proj,zeng_sc_10xv3,1
zeng_sc_SSv4_proj,zeng_sc_SSv4,0
zeng_sn_10x_proj,zeng_sn_10xv2,0
zeng_sn_10x_proj,zeng_sn_10xv3,1
zeng_sn_SSv4_proj,zeng_sn_SSv4,0
zeng_tolias_pseq_proj,zeng_tolias_pseq_e,0
zeng_tolias_pseq_proj,zeng_tolias_pseq_m,1
zeng_tolias_pseq_proj,zeng_tolias_pseq_t,2
zhangK_multiome_proj,zhangK_hu_multiome_atac,0
zhangK_multiome_proj,zhangK_hu_multiome_gex,1
zhangK_snareseq,zhangK_cj_snareseq_AC,0
zhangK_snareseq,zhangK_cj_snareseq_R,1
zhangK_snareseq,zhangK_hs_snareseq_AC,2
zhangK_snareseq,zhangK_hs_snareseq_R,3
zhangl_anatomy_proj,zhangl_anatomy,0
zhangl_ephys_proj,zhangl_ephys,0
zhangl_kz_omics_proj,zhangl_kz_omics,0
zhangl_seqfish_proj,zhangl_seqfish,0
zhuang_abca_proj,zhuang_abca_1,0
zhuang_abca_proj,zhuang_abca_2,1
zhuang_abca_proj,zhuang_abca_3,2
zhuang_abca_proj,zhuang_abca_4,3
zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_1,0
zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_2,1
zhuang_dulac_merfish_HYP_proj,zhuang_dulac_merfish_HYP_3,2
zhuang_dulac_merfish_MOB_proj,zhuang_dulac_merfish_MOB,0
zhuang_dulac_merfish_MOE_proj,zhuang_dulac_merfish_MOE,0
zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG,0
zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG_1,1
zhuang_dulac_merfish_PAG_proj,zhuang_dulac_merfish_PAG_2,2
zhuang_merfish_MOp_proj,zhuang_merfish_M1,0
zhuang_merfish_MOp_proj,zhuang_merfish_MOp,1
zhuang_merfish_NAc_proj,zhuang_merfish_NAc,0
