Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission
GW18_2_TempVZ,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,tVZ,whole cell,8747,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_V1VZ,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,oVZv1,whole cell,10743,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW18_2_ventral_thalamus,specimen,human,NCBI:txid9606,,,GW18_2,,,,transcriptomics,10x Chromium 3' v3 sequencing,VTH,whole cell,2352,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4
GW16_hypo,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,HTH,whole cell,19544,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_MGE,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,MGE,whole cell,11514,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_MotorVZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,fVZm1,whole cell,13669,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_motor,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,M1C,whole cell,10497,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_ParietalVZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,pVZ,whole cell,9559,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_PFC,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,PFC,whole cell,12130,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_PFCVZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,PFCVZ,whole cell,11315,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_Somato,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,whole cell,11578,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_SomatoVZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,pVZs1,whole cell,5760,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_Temporal,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,whole cell,11791,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_TemporalVZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,tVZ,whole cell,9019,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_V1,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,V1,whole cell,11552,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
GW16_V1VZ,specimen,human,NCBI:txid9606,,,GW16,,,,transcriptomics,10x Chromium 3' v3 sequencing,oVZv1,whole cell,7672,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10xv3,NEMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,,2020Q3
