person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Guang-Wei Zhang,Guang-Wei Zhang,Guangwei,Zhang,
Guoping Feng,Guoping Feng,Guoping,Feng,0000-0002-8021-277X
Hagen Tilgner,Hagen Tilgner,Hagen,Tilgner,
Hanchuan Peng,Hanchuan Peng,Hanchuan,Peng,0000-0002-3478-3942
Hanqing Liu,Hanqing Liu,Hanqing,Liu,0000-0002-5114-6048
Heather Zaniewski,Heather Zaniewski,Heather,Zaniewski,
Herman Tung,Herman Tung,Herman,Tung,
Hong-Wei Dong,Hong-Wei Dong,Hong-Wei,Dong,0000-0001-9972-3177
Hongkui Zeng,Hongkui Zeng,Hongkui,Zeng,
Houri Hintiryan,Houri Hintiryan,Houri,Hintiryan,
Hui Wang,Hui Wang,Hui,Wang,
Huizhong Tao,Huizhong Tao,Huizhong,Tao,
I-Chun Anderson Chen,I-Chun Anderson Chen,I-Chun Anderson,Chen,
Ian Bowman,Ian Bowman,Ian,Bowman,
Irene Costantini,Irene Costantini,Irene,Costantini,
Jacinta Lucero,Jacinta Lucero,Jacinta,Lucero,
Jackson Nolan,Jackson Nolan,Jackson,Nolan,
Jamie Marshall,Jamie Marshall,Jamie,Marshall,
Jay Ashok Shendure,Jay Ashok Shendure,Jay Ashok,Shendure,
Jayaram Chandrashekar,Jayaram Chandrashekar,Jayaram,Chandrashenkar,
Jean Augustinack,Jean Augustinack,Jean,Augustinack,
Jeff Goldy,Jeff Goldy,Jeff,Goldy,
Jeremy Miller,Jeremy Miller,Jeremy,Miller,
Jerold Chun,Jerold Chun,Jerold,Chun,0000-0003-3964-0921
Jesse Gillis,Jesse Gillis,Jesse,Gillis,
Jessie Laffey,Jessie Laffey,Jessie,Laffey,
Jiarui Yang,Jiarui Yang,Jiarui,Yang,
Jocelyn Mora,Jocelyn Mora,Jocelyn,Mora,
Jon Bezney,Jon Bezney,Jon,Bezney,
Jonah Langlieb,Jonah Langlieb,Jonah,Langlieb,
Jonathan Ting,Jonathan Ting,Jonathan,Ting,
Josef Sulc,Josef Sulc,Josef,Sulc,
Joseph Ecker,Joseph Ecker,Joseph,Ecker,0000-0001-5799-5895
Joseph R. Nery,Joseph R. Nery,Joseph R.,Nery,
Juan Eugenio Iglesias Gonzalez,Juan Eugenio Iglesias Gonzalez,Juan Eugenio Iglesias,Gonzalez,
Julia Osteen,Julia Osteen,Julia,Osteen,
Juliana Brown,Juliana Brown,Juliana,Brown,
Kathleen Kelly,Kathleen Kelly,Kathleen,Kelly,
Katie Matho,Katie Matho,Katie,Matho,
Kenny Chiou,Kenny Chiou,Kenny,Chiou,
Kimberly Nestor,Kimberly Nestor,Kimberly,Nestor,
Kimberly Siletti,Kimberly Siletti,Kimberly,Siletti,
Kimberly Smith,Kimberly Smith,Kimberly,Smith,
Kirsten Levandowski,Kirsten Levandowski,Kirsten,Levandowski,
Kun Zhang,Kun Zhang,Kun,Zhang,0000-0002-7596-5224
Leah Morgan,Leah Morgan,Leah,Morgan,
Li Zhang,Li Zhang,Li,Zhang,
Lijuan Liu,Lijuan Liu,Lijuan,Liu,0000-0002-9548-6183
Lin Gou,Lin Gou,Lin,Gou,
Long Cai,Long Cai,Long,Cai,
Luca Pesce,Luca Pesce,Luca,Pesce,
Lucas Graybuck,Lucas Graybuck,Lucas,Graybuck,
Ludovico Silvestri,Ludovico Silvestri,Ludovico,Silvestri,
Margarita Behrens,Margarita Behrens,Margarita,Behrens,0000-0002-7168-8186
Marina Scardigli,Marina Scardigli,Marina,Scardigli,
Marmar Moussa,Marmar Moussa,Marmar,Moussa,
Matt Keefe,Matt Keefe,Matt,Keefe,
Matteo Roffilli,Matteo Roffilli,Matteo,Roffilli,
Matthew Vera,Matthew Vera,Matthew,Vera,
Meng Zhang,Meng Zhang,Meng,Zhang,0000-0002-9753-0635
Merina Varghese,Merina Varghese,Merina,Varghese,
Michael Platt,Michael Platt,Michael,Platt,
Michael Tieu,Michael Tieu,Michael,Tieu,
Mike Hawrylycz,Mike Hawrylycz,Mike,Hawrylycz,
Mike Nunn,Mike Nunn,Mike,Nunn,
Morgan Fogarty,Morgan Fogarty,Morgan,Fogarty,
Nick Dee,Nick Dee,Nick,Dee,
Nick Foster,Nick Foster,Nick,Foster,
Nico Pierson,Nico Pierson,Nico,Pierson,
Nikolas Jorstad,Nikolas Jorstad,Nikolas,Jorstad,
Noah Snyder-Mackler,Noah Snyder-Mackler,Noah,Snyder-Mackler,
Nongluk Plongthongkum,Nongluk Plongthongkum,Nongluk,Plongthongkum,
Olivier Poirion,Olivier Poirion,Olivier,Poirion,
Owen White,Owen White,Owen,White,
Paola Arlotta,Paola Arlotta,Paola,Arlotta,
Patrick Hof,Patrick Hof,Patrick,Hof,
Pavel Osten,Pavel Osten,Pavel,Osten,
Peng Xie,Peng Xie,Peng,Xie,0000-0002-9509-7268
Peter Kharchenko,Peter Kharchenko,Peter,Kharchenko,
Qingming Luo,Qingming Luo,Qingming,Luo,0000-0002-6725-9311
Qiwen Hu,Qiwen Hu,Qiwen,Hu,
Ramesh Palaniswamy,Ramesh Palaniswamy,Ramesh,Palaniswamy,0000-0003-4322-2407
Rebecca Hodge,Rebecca Hodge,Rebecca,Hodge,
Robert Frost,Robert Frost,Robert,Frost,
Rongxin Fang,Rongxin Fang,Rongxin,Fang,
Ronna Hertzano,Ronna Hertzano,Ronna,Hertzano,
Rosa Castanon,Rosa Castanon,Rosa,Castanon,
Rusty Nicovich,Rusty Nicovich,Rusty,Nicovich,
Ryan Ziffra,Ryan Ziffra,Ryan,Ziffra,
Samantha Serrano,Samantha Serrano,Samantha,Serrano,
Sean Young,Sean Young,Sean,Young,
Sebastian Preissl,Sebastian Preissl,Sebastian,Preissl,0000-0001-8971-5616
Seth Ament,Seth Ament,Seth,Ament,
Shahul Alam,Shahul Alam,Shahul,Alam,
Shuaibin Chang,Shuaibin Chang,Shuaibin,Chang,
Song-Lin Ding,Song-Lin Ding,Song-Lin,Ding,
Sten Linnarsson,Sten Linnarsson,Sten,Linnarsson,
Stephan Fischer,Stephan Fischer,Stephan,Fischer,
Stephanie Mok,Stephanie Mok,Stephanie,Mok,
Stephen Eichhorn,Stephen Eichhorn,Stephen,Eichhorn,
Steven McCarroll,Steven McCarroll,Steven,McCarroll,
Tamara Casper,Tamara Casper,Tamara,Casper,
Tanya Daigle,Tanya Daigle,Tanya,Daigle,
Tay Won Shin,Tay Won Shin,Tay Won,Shin,
Timothy Tickle,Timothy Tickle,Timothy,Tickle,
Tomasz Nowakowski,Tomasz Nowakowski,Tomasz,Nowakowski,
Trygve Bakken,Trygve Bakken,Trygve,Bakken,
Ulrich Mueller,Ulrich Mueller,Ulrich,Mueller,
Velina Kozareva,Velina Kozareva,Velina,Kozareva,
Vladislav Gavryusev,Vladislav Gavryusev,Vladislav,Gavryusev,
Wei Tian,Wei Tian,Wei,Tian,0000-0002-2146-1717
William Ammon,William Ammon,William,Ammon,
William Romanow,William Romanow,William,Romanow,
X. William Yang,X. William Yang,William,Yang,
Xiaomeng Hou,Xiaomeng Hou,Xiaomeng,Hou,
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
Xinxin Wang,Xinxin Wang,Xinxin,Wang,
Yael Balbastre,Yael Balbastre,Yael,Balbastre,
Yang Eric Li,Yang Eric Li,Yang Eric,Li,0000-0001-6997-6018
Yang Yu,Yang Yu,Yang,Yu,
Yimin Zou,Yimin Zou,Yimin,Zou,
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,
Zhengzheng S. Liang,Zhengzheng S. Liang,Zhengzheng S.,Liang,
Zizhen Yao,Zizhen Yao,Zizhen,Yao,
Mitchell Rudd,Mitchell Rudd,Mitchell,Rudd,
Sara Sime,Sara Sime,Sara,Sime,
Daniela DiBella,Daniela DiBella,Daniela,DiBella,
Kwanho Kim,Kwanho Kim,Kwanho,Kim,
Vy Vuong,Vy Vuong,Vy,Vuong,
Brian Kalmbach,Brian Kalmbach,Brian,Kalmbach,
Scott Owen,Scott Owen,Scott,Owen,
Rebecca de Frates,Rebecca de Frates,Rebecca,de Frates,
Rachel Dalley,Rachel Dalley,Rachel,Dalley,
Matt Mallory,Matt Mallory,Matt,Mallory,
Cristina Radaelli,Cristina Radaelli,Cristina,Radaelli,
Ryder P. Gwinn,Ryder P. Gwinn,Ryder P.,Gwinn,
Daniel L. Silbergeld,Daniel L. Silbergeld,Daniel L.,Silbergeld,
Charles Cobbs,Charles Cobbs,Charles,Cobbs,
Jeffrey G. Ojemann,Jeffrey G. Ojemann,Jeffrey G.,Ojemann,
Andrew L. Ko,Andrew L. Ko,Andrew L.,Ko,
Anoop P. Patel,Anoop P. Patel,Anoop P.,Patel,
Richard G. Ellenbogen,Richard G. Ellenbogen,Richard G.,Ellenbogen,
Brian R. Lee,Brian R. Lee,Brian R.,Lee,
Medea McGraw,Medea McGraw,Medea,McGraw,
Staci A. Sorensen,Staci A. Sorensen,Staci A.,Sorensen,
Christof Koch,Christof Koch,Christof,Koch,
Jason Buenrostro,Jason Buenrostro,Jason,Buenrostro,
Surya Nagaraja,Surya Nagaraja,Surya,Nagaraja,
Fabiana Duarte,Fabiana Duarte,Fabiana,Duarte,
Karol Balderrama,Karol Balderrama,Karol,Balderrama,
James Webber,James Webber,James,Webber,
Katelyn Flowers,Katelyn Flowers,Katelyn,Flowers,
Megan Crow,Megan Crow,Megan,Crow,
Jeroen Eggermont,Jeroen Eggermont,Jeroen,Eggermont,
Brian D. Aevermann,Brian D. Aevermann,Brian D.,Aevermann,
Kirsten Crichton,Kirsten Crichton,Kirsten,Crichton,
Nikolai Dembrow,Nikolai Dembrow,Nikolai,Dembrow,
Weixiu Dong,Weixiu Dong,Weixiu,Dong,
Melissa Goldman,Melissa Goldman,Melissa,Goldman,
Jayaram Kancherla,Jayaram Kancherla,Jayaram,Kancherla,
Matthew Kroll,Matthew Kroll,Matthew,Kroll,
Kanan Lathia,Kanan Lathia,Kanan,Lathia,
Baldur van Lew,Baldur van Lew,Baldur,van Lew,
Joshua Orvis,Joshua Orvis,Joshua,Orvis,
Thanh Pham,Thanh Pham,Thanh,Pham,
Nora M. Reed,Nora M. Reed,Nora M.,Reed,
Adriana E. Sedeño-Cortés,Adriana E. Sedeño-Cortés,Adriana E.,Sedeño-Cortés,
Saroja Somasundaram,Saroja Somasundaram,Saroja,Somasundaram,
Amy Torkelson,Amy Torkelson,Amy,Torkelson,
Renee Zhang,Renee Zhang,Renee,Zhang,
Hector Corrada Bravo,Hector Corrada Bravo,Hector Corrada,Bravo,
Alexander Dobin,Alexander Dobin,Alexander,Dobin,
Thomas Höllt,Thomas Höllt,Thomas,Höllt,
Gregory D. Horwitz,Gregory D. Horwitz,Gregory D.,Horwitz,
Boudewijn P. Lelieveldt,Boudewijn P. Lelieveldt,Boudewijn P.,Lelieveldt,
Richard H. Scheuermann,Richard H. Scheuermann,Richard H.,Scheuermann,
William J. Spain,William J. Spain,William J.,Spain,
Aishwarya A. Gogate,Aishwarya A. Gogate,Aishwarya A.,Gogate,
Trisha M. Zintel,Trisha M. Zintel,Trisha M.,Zintel,
Cailyn Spurrell,Cailyn Spurrell,Cailyn,Spurrell,
Can Tao,Can Tao,Can,Tao,
Bo Peng,Bo Peng,Bo,Peng,
Bogdan Bintu,Bogdan Bintu,Bogdan,Bintu,
Timothy R. Blosser,Timothy R. Blosser,Timothy R.,Blosser,
Junjie Hao,Junjie Hao,Junjie,Hao,
Renchao Chen,Renchao Chen,Renchao,Chen,
Mohamed N. Djekidel,Mohamed N. Djekidel,Mohamed N.,Djekidel,
Yi Zhang,Yi Zhang,Yi,Zhang,
