person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Hanchuan Peng,Hanchuan Peng,Hanchuan,Peng,0000-0002-3478-3942
Hanqing Liu,Hanqing Liu,Hanqing,Liu,0000-0002-5114-6048
Heather Zaniewski,Heather Zaniewski,Heather,Zaniewski,
Hector Corrada Bravo,Hector Corrada Bravo,Hector Corrada,Bravo,
Herman Tung,Herman Tung,Herman,Tung,
Hong-Wei Dong,Hong-Wei Dong,Hong-Wei,Dong,0000-0001-9972-3177
Hongkui Zeng,Hongkui Zeng,Hongkui,Zeng,
Houri Hintiryan,Houri Hintiryan,Houri,Hintiryan,
Hui Wang,Hui Wang,Hui,Wang,
Huib Mansvelder,Huib Mansvelder,Huib,Mansvelder,
Huizhong Tao,Huizhong Tao,Huizhong,Tao,
I-Chun Anderson Chen,I-Chun Anderson Chen,I-Chun Anderson,Chen,
Ian Bowman,Ian Bowman,Ian,Bowman,
Irene Costantini,Irene Costantini,Irene,Costantini,
Jacinta Lucero,Jacinta Lucero,Jacinta,Lucero,
Jackson Nolan,Jackson Nolan,Jackson,Nolan,
James Webber,James Webber,James,Webber,
Jamie Marshall,Jamie Marshall,Jamie,Marshall,
Jason Buenrostro,Jason Buenrostro,Jason,Buenrostro,
Jay Ashok Shendure,Jay Ashok Shendure,Jay Ashok,Shendure,
Jay Ma,Jay Ma,Jay,Ma,
Jayaram Chandrashekar,Jayaram Chandrashekar,Jayaram,Chandrashenkar,
Jayaram Kancherla,Jayaram Kancherla,Jayaram,Kancherla,
Jean Augustinack,Jean Augustinack,Jean,Augustinack,
Jeff Goldy,Jeff Goldy,Jeff,Goldy,
Jeffrey G. Ojemann,Jeffrey G. Ojemann,Jeffrey G.,Ojemann,
Jeremy Miller,Jeremy Miller,Jeremy,Miller,
Jeroen Eggermont,Jeroen Eggermont,Jeroen,Eggermont,
Jerold Chun,Jerold Chun,Jerold,Chun,0000-0003-3964-0921
Jesse Gillis,Jesse Gillis,Jesse,Gillis,
Jessie Laffey,Jessie Laffey,Jessie,Laffey,
Jiarui Yang,Jiarui Yang,Jiarui,Yang,
Jocelyn Mora,Jocelyn Mora,Jocelyn,Mora,
Jon Bezney,Jon Bezney,Jon,Bezney,
Jonah Langlieb,Jonah Langlieb,Jonah,Langlieb,
Jonathan Ting,Jonathan Ting,Jonathan,Ting,
Jordan Norwood,Jordan Norwood,Jordan,Norwood,
Josef Sulc,Josef Sulc,Josef,Sulc,
Joseph Ecker,Joseph Ecker,Joseph,Ecker,0000-0001-5799-5895
Joseph R. Nery,Joseph R. Nery,Joseph R.,Nery,
Josephine Liwang,Josephine Liwang,Josephine,Liwang,
Joshua Orvis,Joshua Orvis,Joshua,Orvis,
Juan Eugenio Iglesias Gonzalez,Juan Eugenio Iglesias Gonzalez,Juan Eugenio Iglesias,Gonzalez,
Julia Osteen,Julia Osteen,Julia,Osteen,
Juliana Brown,Juliana Brown,Juliana,Brown,
Junjie Hao,Junjie Hao,Junjie,Hao,
Kanan Lathia,Kanan Lathia,Kanan,Lathia,
Karol Balderrama,Karol Balderrama,Karol,Balderrama,
Katelyn Flowers,Katelyn Flowers,Katelyn,Flowers,
Kathleen Kelly,Kathleen Kelly,Kathleen,Kelly,
Katie Matho,Katie Matho,Katie,Matho,
Kenny Chiou,Kenny Chiou,Kenny,Chiou,
Kimberly Nestor,Kimberly Nestor,Kimberly,Nestor,
Kimberly Siletti,Kimberly Siletti,Kimberly,Siletti,
Kimberly Smith,Kimberly Smith,Kimberly,Smith,
Kirsten Crichton,Kirsten Crichton,Kirsten,Crichton,
Kirsten Levandowski,Kirsten Levandowski,Kirsten,Levandowski,
Kun Zhang,Kun Zhang,Kun,Zhang,0000-0002-7596-5224
Kwanghun Chung,Kwanghun Chung,Kwanghun,Chung,
Kwanho Kim,Kwanho Kim,Kwanho,Kim,
Kyra T. Newmaster,Kyra T. Newmaster,Kyra T.,Newmaster,
Lauren DeLorenzo,Lauren DeLorenzo,Lauren,DeLorenzo,
Lauren Kruse,Lauren Kruse,Lauren,Kruse,
Leah Morgan,Leah Morgan,Leah,Morgan,
Li Zhang,Li Zhang,Li,Zhang,
Lijuan Liu,Lijuan Liu,Lijuan,Liu,0000-0002-9548-6183
Lin Gou,Lin Gou,Lin,Gou,
Long Cai,Long Cai,Long,Cai,
Luca Pesce,Luca Pesce,Luca,Pesce,
Lucas Graybuck,Lucas Graybuck,Lucas,Graybuck,
Ludovico Silvestri,Ludovico Silvestri,Ludovico,Silvestri,
Margarita Behrens,Margarita Behrens,Margarita,Behrens,0000-0002-7168-8186
Marina Scardigli,Marina Scardigli,Marina,Scardigli,
Mario Skarica,Mario Skarica,Mario,Skarica,
Marmar Moussa,Marmar Moussa,Marmar,Moussa,
Matt Keefe,Matt Keefe,Matt,Keefe,
Matt Mallory,Matt Mallory,Matt,Mallory,
Matteo Roffilli,Matteo Roffilli,Matteo,Roffilli,
Matthew Kroll,Matthew Kroll,Matthew,Kroll,
Matthew Vera,Matthew Vera,Matthew,Vera,
Medea McGraw,Medea McGraw,Medea,McGraw,
Megan Crow,Megan Crow,Megan,Crow,
Melissa Goldman,Melissa Goldman,Melissa,Goldman,
Meng Zhang,Meng Zhang,Meng,Zhang,0000-0002-9753-0635
Merina Varghese,Merina Varghese,Merina,Varghese,
Michael Platt,Michael Platt,Michael,Platt,
Michael Tieu,Michael Tieu,Michael,Tieu,
Mike Hawrylycz,Mike Hawrylycz,Mike,Hawrylycz,
Mike Nunn,Mike Nunn,Mike,Nunn,
Mitchell Rudd,Mitchell Rudd,Mitchell,Rudd,
Mohamed N. Djekidel,Mohamed N. Djekidel,Mohamed N.,Djekidel,
Morgan Fogarty,Morgan Fogarty,Morgan,Fogarty,
Nenad Sestan,Nenad Sestan,Nenad,Sestan,
Nick Dee,Nick Dee,Nick,Dee,
Nick Foster,Nick Foster,Nick,Foster,
Nico Pierson,Nico Pierson,Nico,Pierson,
Nikolai Dembrow,Nikolai Dembrow,Nikolai,Dembrow,
Nikolas Jorstad,Nikolas Jorstad,Nikolas,Jorstad,
Nina Sachdev,Nina Sachdev,Nina,Sachdev,
Noah Snyder-Mackler,Noah Snyder-Mackler,Noah,Snyder-Mackler,
Nongluk Plongthongkum,Nongluk Plongthongkum,Nongluk,Plongthongkum,
Nora M. Reed,Nora M. Reed,Nora M.,Reed,
Olivier Poirion,Olivier Poirion,Olivier,Poirion,
Owen White,Owen White,Owen,White,
Paola Arlotta,Paola Arlotta,Paola,Arlotta,
Patrick Hof,Patrick Hof,Patrick,Hof,
Pavel Osten,Pavel Osten,Pavel,Osten,
Peng Xie,Peng Xie,Peng,Xie,0000-0002-9509-7268
Peter Kharchenko,Peter Kharchenko,Peter,Kharchenko,
Qingming Luo,Qingming Luo,Qingming,Luo,0000-0002-6725-9311
Qiwen Hu,Qiwen Hu,Qiwen,Hu,
Rachel Dalley,Rachel Dalley,Rachel,Dalley,
Ramesh Palaniswamy,Ramesh Palaniswamy,Ramesh,Palaniswamy,0000-0003-4322-2407
Rebecca Betty,Rebecca Betty,Rebecca,Betty,
Rebecca de Frates,Rebecca de Frates,Rebecca,de Frates,
Rebecca Hodge,Rebecca Hodge,Rebecca,Hodge,
Renchao Chen,Renchao Chen,Renchao,Chen,
Renee Zhang,Renee Zhang,Renee,Zhang,
Richard G. Ellenbogen,Richard G. Ellenbogen,Richard G.,Ellenbogen,
Richard H. Scheuermann,Richard H. Scheuermann,Richard H.,Scheuermann,
Robert Frost,Robert Frost,Robert,Frost,
Rongxin Fang,Rongxin Fang,Rongxin,Fang,
Ronna Hertzano,Ronna Hertzano,Ronna,Hertzano,
Rosa Castanon,Rosa Castanon,Rosa,Castanon,
Rusty Nicovich,Rusty Nicovich,Rusty,Nicovich,
Ryan Ziffra,Ryan Ziffra,Ryan,Ziffra,
Ryder P. Gwinn,Ryder P. Gwinn,Ryder P.,Gwinn,
Samantha Serrano,Samantha Serrano,Samantha,Serrano,
Sara Sime,Sara Sime,Sara,Sime,
Saroja Somasundaram,Saroja Somasundaram,Saroja,Somasundaram,
Scott Owen,Scott Owen,Scott,Owen,
Sean Young,Sean Young,Sean,Young,
Sebastian Preissl,Sebastian Preissl,Sebastian,Preissl,0000-0001-8971-5616
Seth Ament,Seth Ament,Seth,Ament,
Shahul Alam,Shahul Alam,Shahul,Alam,
Shuaibin Chang,Shuaibin Chang,Shuaibin,Chang,
Song-Lin Ding,Song-Lin Ding,Song-Lin,Ding,
Staci A. Sorensen,Staci A. Sorensen,Staci A.,Sorensen,
Sten Linnarsson,Sten Linnarsson,Sten,Linnarsson,
Stephan Fischer,Stephan Fischer,Stephan,Fischer,
Stephanie Mok,Stephanie Mok,Stephanie,Mok,
Stephen Eichhorn,Stephen Eichhorn,Stephen,Eichhorn,
Steven McCarroll,Steven McCarroll,Steven,McCarroll,
Surya Nagaraja,Surya Nagaraja,Surya,Nagaraja,
Tamara Casper,Tamara Casper,Tamara,Casper,
Tanya Daigle,Tanya Daigle,Tanya,Daigle,
Tay Won Shin,Tay Won Shin,Tay Won,Shin,
Thanh Pham,Thanh Pham,Thanh,Pham,
Thomas Höllt,Thomas Höllt,Thomas,Höllt,
Timothy R. Blosser,Timothy R. Blosser,Timothy R.,Blosser,
Timothy Tickle,Timothy Tickle,Timothy,Tickle,
Tom Chartrand,Tom Chartrand,Tom,Chartrand,
Tomasz Nowakowski,Tomasz Nowakowski,Tomasz,Nowakowski,
Trisha M. Zintel,Trisha M. Zintel,Trisha M.,Zintel,
Trygve Bakken,Trygve Bakken,Trygve,Bakken,
Ulrich Mueller,Ulrich Mueller,Ulrich,Mueller,
Velina Kozareva,Velina Kozareva,Velina,Kozareva,
Vladislav Gavryusev,Vladislav Gavryusev,Vladislav,Gavryusev,
Vy Vuong,Vy Vuong,Vy,Vuong,
Wei Tian,Wei Tian,Wei,Tian,0000-0002-2146-1717
Weixiu Dong,Weixiu Dong,Weixiu,Dong,
William Ammon,William Ammon,William,Ammon,
William J. Spain,William J. Spain,William J.,Spain,
William Romanow,William Romanow,William,Romanow,
X. William Yang,X. William Yang,William,Yang,
Xiaomeng Hou,Xiaomeng Hou,Xiaomeng,Hou,
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
Xinxin Wang,Xinxin Wang,Xinxin,Wang,
Yael Balbastre,Yael Balbastre,Yael,Balbastre,
Yang Eric Li,Yang Eric Li,Yang Eric,Li,0000-0001-6997-6018
Yang Yu,Yang Yu,Yang,Yu,
Yi Zhang,Yi Zhang,Yi,Zhang,
Yimin Zou,Yimin Zou,Yimin,Zou,
Yongsoo Kim,Yongsoo Kim,Yongsoo,Kim,
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,
Zhengzheng S. Liang,Zhengzheng S. Liang,Zhengzheng S.,Liang,
Zizhen Yao,Zizhen Yao,Zizhen,Yao,
Naeem Nadaf,Naeem Nadaf,Naeem,Nadaf,
