data_collection_reference_id,technique_name
zeng_sc_SSv4,SMART-seq v4
zeng_sn_10xv2,10x Chromium 3' v2 sequencing
zeng_sn_10xv3,10x Chromium 3' v3 sequencing
zeng_sn_SSv4,SMART-seq v4
zeng_tolias_pseq_e,Patch-seq
zeng_tolias_pseq_e,whole cell patch clamp
zeng_tolias_pseq_m,neuron morphology reconstruction
zeng_tolias_pseq_m,Patch-seq
zeng_tolias_pseq_t,Patch-seq
zeng_tolias_pseq_t,SMART-seq v4
zhangK_cj_snareseq_AC,ATAC-seq
zhangK_cj_snareseq_AC,SNARE-seq2
zhangK_cj_snareseq_R,RNAseq
zhangK_cj_snareseq_R,SNARE-seq2
zhangK_hs_snareseq_AC,ATAC-seq
zhangK_hs_snareseq_AC,SNARE-seq2
zhangK_hs_snareseq_R,RNAseq
zhangK_hs_snareseq_R,SNARE-seq2
zhangl_anatomy,light sheet microscopy
zhangl_anatomy,VISor
zhangl_kz_omics,10x Chromium 3' v3 sequencing
zhangl_seqfish,seqFISH
zhuang_merfish,MERFISH
dulac_pag_sn_10xv2,10x Chromium 3' v2 sequencing
