project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
TransChar,Transgenic Characterization,Transgenic Char,Transgenic approaches are used to label neurons in a cell type specific manner in mice. These transgenic mice can be then be used to enable profiling of specific cell-types by various assays. The labeling of specific cell types by these transgenic approaches was characterized as a reference set.,sub program,,,https://portal.brain-map.org/explore/toolkit/mice
U01 Chung,Towards Integrated 3D Reconstruction of Whole Human Brains at Subcellular Resolution,U01 Chung,Towards Integrated 3D Reconstruction of Whole Human Brains at Subcellular Resolution,sub program,,,https://biccn.org/teams/u01-chung
U01 Dong,Anatomical Characterization of Neuronal Cell Types of the Mouse Brain,U01 Dong,Anatomical Characterization of Neuronal Cell Types of the Mouse Brain,sub program,,,https://biccn.org/teams/u01-dong
U01 Ecker,Epigenomic cell-type classification and regulatory element identification in the human brain,U01 Ecker,Epigenomic cell-type classification and regulatory element identification in the human brain,sub program,,,https://biccn.org/teams/u01-ecker
U01 Feng,A Molecular and Cellular Atlas of the Marmoset Brain,U01 Feng,The goal of the project is to generate a molecular and cellular map of the marmoset brain using scRNAseq and morphological analysis,sub program,,,https://biccn.org/teams/u01-feng
U01 Fischl,Imaging and analysis Techniques to Construct a Cell Census Atlas of the Human Brain,U01 Fischl,Imaging and analysis Techniques to Construct a Cell Census Atlas of the Human Brain,sub program,,,https://biccn.org/teams/u01-fischl
U01 Kriegstein,A Cellular Resolution Census of the Developing Human Brain,U01 Kriegstein,A Cellular Resolution Census of the Developing Human Brain,sub program,,,https://biccn.org/teams/u01-kriegstein
U01 Lein,A Multimodal Atlas of Human Brain Cell Types,U01 Lein,A Multimodal Atlas of Human Brain Cell Types,sub program,,,https://biccn.org/teams/u01-lein
U01 Macosko,A cellular atlas of the primate and human basal ganglia,U01 Macosko,A cellular atlas of the primate and human basal ganglia,sub program,,,
U01 Osten,Collaboratory for Atlasing Cell Type Anatomy in the Female and Male Mouse Brain,U01 Osten,Collaboratory for Atlasing Cell Type Anatomy in the Female and Male Mouse Brain,sub program,,,https://biccn.org/teams/u01-osten
U01 Sestan,Developmental cell census of human and non-human primate brain,U01 Sestan,Developmental cell census of human and non-human primate brain,sub program,,,
U01 Snyder-Mackler,Single cell transcriptional and epigenomic atlas of the macaque brain across the lifespan,U01 Snyder-Mackler,Single cell transcriptional and epigenomic atlas of the macaque brain across the lifespan,sub program,,,https://biccn.org/teams/u01-snydermackler
U01 Yang,Dendritome Mapping of Genetically-Defined and Sparsely-Labeled Cortical and Striatal Projection Neurons,U01 Yang,Dendritome Mapping of Genetically-Defined and Sparsely-Labeled Cortical and Striatal Projection Neurons,sub program,,,https://biccn.org/teams/u01-yang
U01 ZhangKun,Toward a Human Adult Brain Cell Atlas with Single-Cell Technologies,U01 ZhangKun,Toward a Human Adult Brain Cell Atlas with Single-Cell Technologies,sub program,,,https://biccn.org/teams/u01-zhangk
U01 ZhangLi,Cell Atlas of Mouse Brain-Spinal Cord Connectome,U01 ZhangLi,Cell Atlas of Mouse Brain-Spinal Cord Connectome,sub program,,,https://biccn.org/teams/u01-zhangl
U19 Ecker,Center for Epigenomics of the Mouse Brain Atlas (CEMBA),U19 Ecker,Center for Epigenomics of the Mouse Brain Atlas (CEMBA),sub program,,,https://biccn.org/teams/u19-ecker
U19 Huang,A Comprehensive Center for Mouse Brain Cell Atlas,U19 Huang,A Comprehensive Center for Mouse Brain Cell Atlas,sub program,,,https://biccn.org/teams/u19-huang
U19 Zeng,A Comprehensive Whole-brain Atlas of Cell Types in the Mouse,U19 Zeng,A Comprehensive Whole-brain Atlas of Cell Types in the Mouse,sub program,,,https://biccn.org/teams/u19-zeng
U24 Hawrylycz,A Community Resource for Single Cell Data in the Brain,U24 Hawrylycz,A Community Resource for Single Cell Data in the Brain,sub program,,,https://biccn.org/teams/u24-hawrylycz
ABCA_proj,Mouse whole-brain transcriptomic cell type atlas,ABC Atlas - Mouse Whole Brain,"ABC Mouse Whole Brain Atlas is a transcriptomic cell-type taxonomy across the entire mouse brain, integrating several whole-brain single-cell RNA-sequencing (scRNA-seq) datasets. The datasets contain a total of ~4.5 million cells passing rigorous quality-control criteria. The integrated transcriptomic taxonomy contains 5206 clusters that are organized in a hierarchical manner with groupings of classes, subclasses, supertypes and types/clusters. The anatomical location of each cell type has been annotated by using comprehensive brain-wide MERFISH datasets with total of ~4 million cells.  The MERFISH datasets not only provide accurate spatial annotation of major cell types at subclass level, but also reveal very fine resolution spatial distinctions or gradients for cell types within each subclass.",data collection project,,,
chung_antibody_proj,"Highly specific, renewable, and cost-effective antibody toolbox for 3D proteomic phenotyping of the brain",Antibody toolbox,"System-wide analysis of cell types in the brain is essential for understanding how complex cellular interactions give rise to various brain functions. Rapidly evolving tissue transformation and clearing technologies have enabled three-dimensional (3D) imaging and phenotyping of intact brains at unprecedented resolution. In particular, proteomic imaging techniques can provide multiscale anatomical, morphological, molecular, and functional information in both non-human and human brains. Highly specific antibodies, once rigorously validated, should enable spatial mapping of the brain proteome and corresponding cellular architectures; however, the unique potential of the 3D proteomic imaging is fundamentally limited by (1) incompatibility of existing antibodies with the emerging tissue transformation approaches, (2) poor specificity of commercially available antibodies, (3) lack of antibodies for newly identified targets, and (4) prohibitively high antibody cost for brain-wide labeling applications. The goal of this project is to democratize the 3D proteomic imaging approaches by creating a comprehensive open-source library of high-quality monoclonal antibodies (mAbs) that are truly renewable, scalable, and compatible with a wide range of conventional and emerging tissue processing technologies. In addition, we will develop robust and scalable protocols for uniform staining of intact brain tissues with new mAb tools. We envision that this antibody library and protocols will allow the research community to interrogate brain structure and function, including complex intercellular relationships at multiple scales.",data collection project,,,
chung_lsfm_proj,3D mapping of the whole human brain using oblique light sheet microscopy,3D mapping of the human brain,"The main objective of this project is to establish a fully integrated 3D human brain cell atlas by imaging high-dimensional features (including spatial, molecular, morphological, and microenvironment information) of all cells acquired from the same brain using oblique light sheet microscopy.",data collection project,,,
dev_mouse_brain_ccf_proj,Developing Mouse Brain Imaging and Common Coordinate Framework,Dev Mouse Brain Imaging & CCF,"Brain development is characterized by a diverse set of cell types that are born and connected into rapidly growing, complex 3D structures across time. Quantitative understanding of cell type composition and distribution in different brain regions provides fundamental knowledge about the building blocks of the brain and serves as an essential baseline with which to assess changes that may occur in brain disorders. Common coordinate frameworks (CCF) provide an essential spatial context with which to understand cell type composition and 3D arrangement in the mouse brain. For the adult mouse brain, the Allen CCF currently serves as a standard atlas resource with which to map and integrate results from different studies. On the other hand, the lack of CCFs in developing mouse brains significantly impedes progress on quantitative spatiotemporal understanding of cell types during neurodevelopment. To address this deficiency, we have assembled a highly synergistic, multi-institutional team with complementary skill sets to create developmental CCFs with associated ontology and true 3D anatomical labels while also demonstrating the application of our CCFs by generating quantitative mappings of GABAergic neurons in the developing mouse brain. Toward this end, we will first utilize MRI and light sheet fluorescent microscopy (LSFM) to develop high-resolution developmental CCFs at seven different developmental time points (E11.5, E13.5, E15.5, E18.5, P4, P14, and P56) with different cellular features highlighted, including total cell density, myelination, and neurovasculature. Second, we will create fully3D anatomical labels for the CCFs based on cellular and gene expression information, and build a comprehensive ontology that will allow anatomical region changes to be linked across development and maturation. Lastly, we will generate a cellular-resolution quantitative map of GABAergic neuronal subtypes using tissue clearing and LSFM imaging in developing mouse brains. The successful completion of this project will enable a broad field of scientists to leverage modern brain mapping technologies more effectively in studying the developing mouse brain.",data collection project,,,
dong_antero_proj,Cre-dependent anterograde pathway tracing,Anterograde tracing,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide targets of projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent anterograde tracing was used. Cre was delivered to a projection-defined population of neurons, whose outputs were then traced via a Cre-dependent anterograde tracer injection. Utilizing this strategy, the unique brain-wide connections of different projection-defined neurons can be attained (e.g., targets of caudoputamen-projecting amygdala neurons versus targets of hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details",data collection project,,,
dong_retro_proj,Retrograde pathway tracing,Retrograde tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Retrograde pathway tracers identify the input connections of injected regions by labeling cell bodies. Male C57BL wild type mice 8 weeks of age were used. In one experiment, 3-5 retrograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, basal ganglia, hippocampus, amygdala, midbrain, or hindbrain. As such in one experiment, four different populations of neurons were identified simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
dong_trio_proj,Tracing the relationship between input and output (TRIO),TRIO,"Different populations of neurons can be defined by their unique connectivity profiles. To determine the brain-wide inputs to projection-defined cell types (e.g., caudoputamen-projecting amygdala neurons), Cre-dependent rabies viral tracing was used. Cre was delivered to a projection-defined population of neurons, which received TVA and rabies glycoprotein delivered via a Cre-dependent helper virus. Next, an EnvA pseudotyped G-deleted rabies virus was delivered to the same population of neurons to label their monosynaptic inputs from cells across the brain (e.g., brain-wide inputs to caudoputamen-projecting amygdala neurons). Utilizing this strategy, the unique brain-wide monosynaptic inputs to different projection-defined cell types can be attained (e.g., inputs to caudoputamen-projecting amygdala neurons versus inputs to hippocampus-projecting amygdala neurons). Male C57BL wild type mice 8 weeks of age were used and all sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
dong_viral_neuron_proj,Viral sparse labeling of connectionally-unique projection neurons for morphological assessment,Viral sparse labeling of connectionally-unique projection neurons,"To assess the morphological features of connectionally unique projection neurons in the hippocampus, G-deleted rabies virus was injected into the amygdala and accumbens to backlabel hippocampal neurons with distinct project targets. Following SHIELD-processing of whole brains or thick brain sections, volumetric image stacks were acquired using either a lightsheet or confocal microscope at 10x or 30x magnification.",data collection project,,,
dulac_hyp_sn_10x_proj,Mouse Hypothalamus Single-Nucleus Sequencing Using 10x v2,Mouse Hypothalamus 10x Nuclei,"We had collected 148,163 single nuclei expression profiles from 16 mouse hypothalamus libraries, covering ~1% of the entire hypothalamic cell population. Each mouse hypothalamus was dissected into two segments: anterior part and posterior part. Three segments of anterior origin were pooled to generate one sequencing library, and the same for the posterior segments. Twelve males and twelve females (age 10-11 weeks) were used in the experiment, given equal presentation of sex in the data. Libraries were prepared by 10x Chromium 3' v2 sequencing using nucleus suspension sorted by flow cytometer. A total of ~5 billion reads were generated by Illumina sequencing at 78.5% saturation on a HiSeq 2500 platform.",data collection project,,"Dataset: Catherine Dulac, Sophia Liang, Eric Vaughn, Scott VanBuren (2021) HYP single nucleus 10x v2 sequence reads [Dataset]. Available from https://assets.nemoarchive.org/dat-4xq7q5j.",
dulac_pag_sn_10x_proj,Single Nucleus RNA-Sequencing of the Mouse Periaqueductal Gray Matter,PAG NucSeq,"We performed single nucleus RNA-sequencing on males and females of the mouse periaqueductal gray matter and surrounding tissues. We collected ~100,000 quality nuclei from this assay and defined ~100 types of PAG neurons, defined by spatially localized transcription factor and neuropeptide expression.",data collection project,,"Dataset: Kathleen Kelly, Eric Vaughn, Scott Van Buren (2021) 10x Chromium 3' v2 sequencing reads of the periaqueductal gray matter [Dataset]. Available from https://assets.nemoarchive.org/dat-diw5xr1.",
dulac_poa_dev_sn_10x_proj,Single-nucleus analysis of preoptic area development from late embryonic to adult stages,POA development,"Single-nucleus analysis of preoptic area development from late embryonic to adult stages. The first datasets submitted are from the 10x Multiome Kit, with RNAseq submitted first.",data collection project,,,
ecker_hu_DNAseq_proj,DNA genome sequence of  individual human brain donors,DNA sequencing,DNA genome sequence of  individual human brain donors,data collection project,,"Dataset: Wei Tian*, Jingtian Zhou*, Anna Bartlett, Qiuri Zeng, Jiaying Xu, Hanqing Liu, Rosa G. Castanon, Mia Kenworthy, Jordan Altshul, Joseph R. Nery, Huaming Chen, Yang Li, Kimberly Siletti, Rebecca Hodge, Nicholas D. Johnson, Jacinta Lucero, Julia Osteen, Nora Emerson, Jon Rink, Ed Lein, Sten Linnarsson, Bing Ren, M. Margarita Behrens and Joseph R. Ecker+ (2022). Single nucleus methylome and  3D chromatin heterogeneity reveals cell-type identity, spatial location and regulatory genome complexity  in the human brain  [Dataset]. Available from https://assets.nemoarchive.org/dat-a6v2v36.",
ecker_hu_sn_ATACseq_proj,Chromatin accessibility profiling in individual human brain nuclei,Chromatin single nucleus,Chromatin accessibility profiling in individual human brain nuclei,data collection project,,"Dataset: Yang Eric Li, Michael Miller, Nicholas D. Johnson, Zihan Wang, Wei Tian, Henry Jiao, Chenxu Zhu, Zhaoning Wang, Yang Xie, Allen Wang, Olivier Poirion, Sebastian Preissl, Colin Kern, Antonio Pinto-Duarte, Kimberly Siletti, Nora Emerson, Julia Osteen, Jacinta Lucero, Lin Lin, Qian Yang, Rebecca Hodge, Sten Linnarsson, Trygve Bakken, Jingbo Shang, Quan Zhu, Ed Lein, M. Margarita Behrens, Joseph R. Ecker, and Bing Ren (2022). Comprehensive analysis of single-cell chromatin accessibility in the human brain [Dataset]. Available from https://assets.nemoarchive.org/dat-d6r90fb.",
ecker_hu_sn_m3Cseq_proj,DNA methylation and chromatin conformation simultaneous profiling in individual human brain cell nuclei,DNA methylation and HiC single cell,DNA methylation and chromatin conformation simultaneous profiling in individual human brain cell nuclei,data collection project,,,
ecker_hu_sn_mCseq_proj,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,DNA methylation single cell,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,data collection project,,"Dataset: Wei Tian*, Jingtian Zhou*, Anna Bartlett, Qiuri Zeng, Jiaying Xu, Hanqing Liu, Rosa G. Castanon, Mia Kenworthy, Jordan Altshul, Joseph R. Nery, Huaming Chen, Yang Li, Kimberly Siletti, Rebecca Hodge, Nicholas D. Johnson, Jacinta Lucero, Julia Osteen, Nora Emerson, Jon Rink, Ed Lein, Sten Linnarsson, Bing Ren, M. Margarita Behrens and Joseph R. Ecker+ (2022). Single nucleus methylome and  3D chromatin heterogeneity reveals cell-type identity, spatial location and regulatory genome complexity  in the human brain [Dataset]. Available from https://assets.nemoarchive.org/dat-fcr7gr0.",
ecker_sn_ATACseq_proj,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Chromatin accessibility,"The goal is to profile open chromatin at single cell resolution using snATAC-seq across >100 mouse brain regions. The resulting profiles will be used to both define cell types and generate comprehensive catalogs of regulatory elements for each cell type. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). Pooled nuclei were subjected to tagged Tn5 transposon insertion to identify accessible chromatin (snATAC-seq). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.",data collection project,,"Dataset: Songpeng Zu*, Yang Eric Li*, Xiaomeng Hou, Qian Yang, Yuelai Wang, Hanqing Liu, Antonio Pinto-Duarte, Jacinta Lucero, Julia Osteen, Michael Miller, Lin Lin, Bin Li, Olivier Poirion, Samantha Kuan, Joshua Chiou, Ying Yuan, Kyle Gaulton, Michael Nunn, Eran A. Mukamel, M. Margarita Behrens, Joseph R. Ecker, Allen Wang, Sebastian Preissl, Bing Ren (2022) Comprehensive single-cell analysis of chromatin accessibility in the adult mouse brain [Dataset]. Available from https://assets.nemoarchive.org/dat-fz3s3s2.",
ecker_sn_mCseq_proj,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Methylation nuclei,"The goal is to generate single nucleus methyl-C genomic DNA sequencing data from isolated cells from >100 regions of the mouse brain for both cell-type classification and the identification of regulatory elements. The brains of adult male C57BL/6J mice (P56) were sliced into 18 600-micron-thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). NeuN-positive and NeuN-negative cell nuclei were purified from each pool, and isolated nuclei subjected to single nuclei methyl-C DNA sequencing (snmC-seq2). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice.",data collection project,,"Dataset: Hanqing Liu, Qiurui Zeng, Jingtian Zhou, Anna Bartlett, Bang-An Wang, Peter Berube, Wei Tian, Mia Kenworthy, Jordan Altshul, Joseph R. Nery, Huaming Chen, Rosa G. Castanon, Yang Eric Li, Jacinta Lucero, Julia K. Osteen, Michael Nunn, Eran A. Mukamel, Bing Ren, Jesse R. Dixon, M. Margarita Behrens, Joseph R Ecker (2022). DNA Methylome and 3D Chromatin Landscape of Cell Types Across the Mouse Brain [Dataset]. Available from https://assets.nemoarchive.org/dat-m5wqy8t.",
ecker_sn_mCseq_retro_proj,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Methylation projection neurons,"The goal is to generate single nucleus methyl-C DNA sequence data from purified projection neurons from >100 neuronal circuits in the mouse brain. Recombinant AAV is injected bilaterally into selected brain regions in INTACT mice (B6.129-Gt(ROSA)26Sortm5(CAG-Sun1/sfGFP)Nat/MmbeJ animals in the C57BL/6 background, Jax stock #030952 @ two male and two female animals per injection site). Two weeks post AAV infection (P56), dissection of mouse brains follows the slice/region isolation protocol used in RS1. GFP-positive nuclei of projection neurons are isolated from the tissue segments pooled from selected anatomical regions that are known to project to the initial injection target, and subjected to single nuclei methyl-C DNA sequence analysis (snmC-seq2). Over 100 brain region pairings are analyzed from both male and female mice.",data collection project,,"Dataset: Jingtian Zhou*, Zhuzhu Zhang*, Yan Pang, Angeline C. Rivkin, Elora Williams, Cheng-Ta Lee, Hanqing Liu, Paula Assakura Miyazaki, Anna Bartlett, Andrew I. Aldridge, Minh Vu, Angelo Salinda, Will Nunez, Neela Patne, Lara Boggeman, Conor Fitzpatrick, Joseph R. Nery, Rosa G. Castanon, Mohammad Rashid, Matthew W. Jacobs, Tony Ito-Cole, Naomi Claffey, Michelle Liem, Carolyn O'Connor, Antonio Pinto-Duartec, Bertha Dominguez, Jared B. Smith, Kuo-Fen Lee, Xin Jin, Eran A. Mukamel, M. Margarita Behrens, Joseph R. Ecker+, Edward M. Callaway+ (2022) Brain-wide Correspondence Between Neuronal Epigenomics and Long-Distance Projections [Dataset]. Available from https://assets.nemoarchive.org/dat-m21bzvo.",
ecker_trio_proj,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),TRIO tracing,"The goal is to link the epigenetic profiles of projection neurons to their monosynaptic inputs and distant outputs from >100 neuronal circuits in the mouse brain. TRIO experiments use 3 different viruses (AAVretro-Ef1a-Cre, AAV8-hSyn-FLEX- TVA-P2A-GFP-2A-oG helper virus, and EnvA pseudotyped G-deleted Rabies mCherry (EnvA RVdG-4mCherry). At the start of the experiment, AAVretro-Ef1a-Cre is injected unilaterally into structures that receive axons of target brain regions of interest. Two weeks post AAV infection (P70), injection of AAV helper virus and G-deleted rabies virus (AAV8hSyn-FLEX-TVA-P2A-GFP-2A-oG helper virus, EnvA RVdG-4mCherry) are made into the regions of interest. One week following the injection of AAV helper and rabies virus the brains are sectioned and imaged to visualize neuronal populations defined by their corresponding input and output profiles. The patterns of labeling across the whole brain are then reconstructed, quantified, and mapped to the Allen CCF and made available on www.mouseconnectome.org. This results in labeling, across the entire brain of neurons providing input to each projection cell type within epigenetically defined regions of interest. over 100 brain regions are analyzed for male mice.",data collection project,,,
feng_fish_proj,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,Marmoset Gene Atlas,Image and morphological reconstruction,data collection project,,,
feng_multiome_proj,A Molecular and Cellular Atlas of the Marmoset Brain - 10X Multiome,10X Multiome,Single nucleus multimodal sequencing of nuclei from marmoset brain using the 10X multiome platform.,data collection project,,,
feng_sn_dropseq_proj,A Molecular and Cellular Atlas of the Marmoset Brain - Single nucleus sequencing,Single nucleus sequencing,Single nucleus RNA sequencing of cells from marmoset brain.,data collection project,,"Dataset: Fenna Krienen, Melissa Goldman, Steven McCarroll (2021) A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq [Dataset]. Available from https://assets.nemoarchive.org/dat-knrjpcj. | Dataset: Steven McCarroll, Fenna Krienen, Melissa Goldman (2022) A Molecular and Cellular Atlas of the Marmoset Brain - 10x v3 [Dataset]. Available from https://assets.nemoarchive.org/dat-7jxfmkh.",
fischl_mri_proj,Imaging and analysis Techniques to Construct a Cell Census Atlas of the Human Brain,Human brain cell census for BA 44/45,"Here we demonstrate performing an innovative imaging and analysis pipeline to construct a reliable cell census across the human cerebral cortex. Magnetic resonance imaging (MRI) is used to establish a macroscopic reference coordinate system of laminar and cytoarchitectural boundaries. Cell counting is obtained with both traditional immunohistochemistry, to provide a stereological gold standard, and with a custom-made inverted confocal light sheet fluorescence microscope (LSM) for 3D imaging at cellular resolution. Finally, polarization sensitive optical coherence tomography (PSOCT) enables registration of the distorted histological cell typing obtained with LSM to the MRI-based atlas coordinate system.",data collection project,,"Mazzamuto, Giacomo; Costantini, Irene; Gavryusev, Vladislav; Castelli, Filippo Maria; Pesce, Luca; Scardigli, Marina; Pavone, Francesco Saverio; Roffilli, Matteo; Silvestri, Ludovico; Brady, Niamh; Ramazzotti, Josephine; Hof, Patrick R.; Boas, David A.; Fischl, Bruce; Morgan, Leah; Yang, Jiarui; Chang, Shuaibin; Laffey, Jessie; Magnain, Caroline; Varadarajan, Divya; Wang, Hui; Frost, Robert; Kouwe, Andre van der; Player, Allison Stevens; Atzeni, Alessia; Gonzalez, Juan Eugenio Iglesias; Balbastre, Yael; Vera, Matthew; Cordero, Devani; Nestor, Kimberly; Ammon, William; Nolan, Jackson; Mora, Jocelyn; Pallares, Erendira Garcia; Augustinack, Jean; Diamond, Bram; Fogarty, Morgan; Boyd, Emma; Varghese, Merina; Dalca, Adrian V.; Edlow, Brian; Frosche, Matthew; Wicinski, Bridget; Chen, I-Chun Anderson (2022) Human brain cell census for BA 44/45 (Version draft) [Data set]. DANDI archive. Available from https://dandiarchive.org/dandiset/000026/.",
huang_antero_proj,Triple anterograde pathway tracing,Anterograde tracing,"Different populations of neurons can be defined by their unique connectivity characteristics. This information of connectional features can be integrated with additional discriminating elements of neurons like their molecular profile to provide more comprehensive cell identification. Anterograde pathway tracers identify the output connections of injected regions by labeling axons, axon terminals, and boutons. Male C57BL wild type mice 8 weeks of age were used. In one experiment, three anterograde tracers were injected in different regions of interest spanning the cortex, striatum, thalamus, amygdala, midbrain, or hindbrain. As such in one experiment, the output of three different populations of neurons were traced simultaneously. All sections were counterstained with Nissl for cytoarchitectonic details.",data collection project,,,
huang_ccf4_proj,Mouse brain atlas common coordinate framework version 4: Nissl staining,Mouse brain CCF-Nissl v4,"a nextgen Thionin-Nissl reference atlas, machine-learning driven, co-registered to the STP CCF brain, correcting issues with V2 and V3 based Nissl atlases",data collection project,,,
huang_dev_cx_proj,Single cell transcriptomic and epigenomic profile of the developing mouse cortex,Single Cell Atlas of Dev Mouse Cortex,Single cell-resolution molecular atlas of the developing mouse cortex using large scale single cell transcriptomic and chromatin-accessibility analysis across embryonic and early post-natal development. Male and Female Wild Type mouse (C57 background) were used.,data collection project,,,
huang_fmost_proj,Single cell morphology fMOST imaging and cell reconstructions in the mouse brain,fMOST,Single cell morphology fMOST imaging and cell reconstructions in the mouse brain.,data collection project,,,
huang_input_conn_proj,Input Connectivity in Mouse using Retrograde Transsynaptic Tracing,Input Connectivity in Mouse using Retrograde Transsynaptic Tracing,Input Connectivity in Mouse using Retrograde Transsynaptic Tracing,data collection project,,,
