Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Anatomical Structure (CV)
4350_BA9,human,NCBI:txid9630,4350,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1358,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4369_BA22,human,NCBI:txid9631,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2567,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4369_BA24,human,NCBI:txid9632,4369,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,930,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4369_BA9,human,NCBI:txid9633,4369,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,878,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4369_INS,human,NCBI:txid9634,4369,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,536,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
4389_BA24,human,NCBI:txid9635,4389,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1197,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4389_BA9,human,NCBI:txid9636,4389,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1226,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4396_BA22,human,NCBI:txid9637,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,6016,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4396_BA24,human,NCBI:txid9638,4396,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1577,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4396_BA9,human,NCBI:txid9639,4396,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1028,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4396_INS,human,NCBI:txid9640,4396,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,1215,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
4425_BA22,human,NCBI:txid9641,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,6315,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4426_BA24,human,NCBI:txid9642,4426,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,687,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4426_BA9,human,NCBI:txid9643,4426,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,2950,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
4670_BA22,human,NCBI:txid9644,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,3712,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
4670_BA24,human,NCBI:txid9645,4670,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,855,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
4942_BA13,human,NCBI:txid9646,4942,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,1546,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,ICx
4942_BA22,human,NCBI:txid9647,4942,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,9240,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
4942_BA9,human,NCBI:txid9648,4942,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,306,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
5077_BA22,human,NCBI:txid9649,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,2279,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
5163_BA24,human,NCBI:txid9650,5163,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,410,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5242_BA24,human,NCBI:txid9651,5242,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1258,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5242_FIC,human,NCBI:txid9652,5242,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,4167,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
5387_BA9,human,NCBI:txid9653,5387,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,4198,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5391_BA24,human,NCBI:txid9654,5391,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1007,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5408_FIC,human,NCBI:txid9655,5408,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,5534,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
5408_PFC,human,NCBI:txid9656,5408,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,442,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5538_PFC,human,NCBI:txid9657,5538,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,220,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5546_BA9,human,NCBI:txid9658,5546,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,597,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
5554_BA24,human,NCBI:txid9659,5554,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1847,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5577_BA9,human,NCBI:txid9660,5577,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,1141,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5608_BA24,human,NCBI:txid9661,5608,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1180,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5608_BA9,human,NCBI:txid9662,5608,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,359,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5608_INS,human,NCBI:txid9663,5608,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,305,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
5609_BA9,human,NCBI:txid9664,5609,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,480,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
5787_BA9,human,NCBI:txid9665,5787,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,481,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
5879_PFC,human,NCBI:txid9666,5879,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,166,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5893_BA24,human,NCBI:txid9667,5893,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,918,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5893_PFC,human,NCBI:txid9668,5893,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,327,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5900_BA13,human,NCBI:txid9669,5900,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,6000,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,ICx
5900_BA22,human,NCBI:txid9670,5900,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,4539,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
5900_BA24,human,NCBI:txid9671,5900,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,1499,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2019Q1,,CgGr
5900_BA9,human,NCBI:txid9672,5900,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,382,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
5936_PFC,human,NCBI:txid9673,5936,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,315,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5958_BA24,human,NCBI:txid9674,5958,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,597,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
5958_BA9,human,NCBI:txid9675,5958,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,364,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5976_BA9,human,NCBI:txid9676,5976,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,487,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2018Q4,,PFC
5981_BA9,human,NCBI:txid9677,5981,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,386,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
6032_BA24,human,NCBI:txid9678,6032,,transcriptomics,10x Chromium 3' v2 sequencing,MFC,nuclei,280,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Anterior cingulate cortex,2018Q4,,CgGr
6032_FIC,human,NCBI:txid9679,6032,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,2990,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2018Q4,,ICx
663_BA22,human,NCBI:txid9680,663,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,11425,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
779_BA22,human,NCBI:txid9681,779,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,1146,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
779_BA9,human,NCBI:txid9682,779,,transcriptomics,10x Chromium 3' v2 sequencing,PFC,nuclei,157,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Prefrontal cortex,2019Q1,,PFC
814_BA22,human,NCBI:txid9683,,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,7871,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
872_BA13,human,NCBI:txid9684,872,,transcriptomics,10x Chromium 3' v2 sequencing,ICx,nuclei,7340,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Insula cortex,2019Q1,,ICx
872_BA22,human,NCBI:txid9685,872,,transcriptomics,10x Chromium 3' v2 sequencing,SLTC,nuclei,44,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Temporal cortex,2019Q1,,TCx
A14-103_Cing,human,NCBI:txid9686,A14-103,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,3071,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q1,,CCx
A14-103_FC,human,NCBI:txid9687,A14-103,,transcriptomics,10x Chromium 3' v2 sequencing,FCx,nuclei,3266,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Frontal cortex,2018Q4,,FCx
A15-44_Cing,human,NCBI:txid9688,A15-44,,transcriptomics,10x Chromium 3' v2 sequencing,CCx,nuclei,532,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Cingulate cortex,2019Q1,,CCx
A15-44_FC,human,NCBI:txid9689,A15-44,,transcriptomics,10x Chromium 3' v2 sequencing,FCx,nuclei,571,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell,Frontal cortex,2019Q1,,FCx
GW16-2-12-20_CGE,human,NCBI:txid9690,,,transcriptomics,10x Chromium 3' v2 sequencing,caudal ganglionic eminence,nuclei,119591,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sn_10x_proj,NeMO,,,2020Q4,,
