Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Mukamel lab notes,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV),is_duplicate
CEMBA180111_4E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB;SI,nuclei,9305,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACB;SI,
CEMBA180118_1B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ORB;FRP,nuclei,8926,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ORB;FRP,
CEMBA180119_1B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ORB;FRP,nuclei,6677,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ORB;FRP,
CEMBA180123_2A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA;PL;ILA,nuclei,9389,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA;PL;ILA,
CEMBA180129_3A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA;ILA;PL,nuclei,9807,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA;ILA;PL,
CEMBA180130_3A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA;ILA;PL,nuclei,9990,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA;ILA;PL,
CEMBA180205_4A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,7657,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA180206_4A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,11311,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA180208_1C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOB;AOB;AON,nuclei,8284,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOB;AOB;AON,
CEMBA180212_1C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOB;AOB;AON,nuclei,8942,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOB;AOB;AON,
CEMBA180213_1B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ORB;FRP,nuclei,9095,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ORB;FRP,
CEMBA180222_2E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,TTd;TTv;AON,nuclei,10734,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,TTd;TTv;AON,
CEMBA180226_1A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,11796,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180227_1A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,10950,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180305_2B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,11256,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180306_2B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,11688,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180308_3B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,11726,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180312_3B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOs,nuclei,11418,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOs,
CEMBA180313_2D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,10126,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180319_2D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,9596,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180320_3E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,10956,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180326_3E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,11029,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180329_4F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,11318,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180402_4F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12272,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA180409_2C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,11208,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOp,
CEMBA180410_2C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,12801,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOp,
CEMBA180412_3D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AI,nuclei,12783,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,AI,
CEMBA180416_3D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,AI,nuclei,13060,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,AI,
CEMBA180417_4C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,11656,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180419_4C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,12132,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180426_8B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,11028,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180430_8B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,10759,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180514_5B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,11409,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180529_5B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,10378,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA180612_5D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,11947,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOp,
CEMBA180618_5D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MOp,nuclei,11702,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MOp,
CEMBA180619_4G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,12818,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,LSX,
CEMBA180723_4G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,12135,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,LSX,
CEMBA180724_4H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MS;NDB,nuclei,10120,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MS;NDB,
CEMBA180730_4H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,MS;NDB,nuclei,11145,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,MS;NDB,
CEMBA180731_5A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,10402,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA180807_5A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,9464,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA180813_5E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,9915,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,CP,
CEMBA180820_5E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CP,nuclei,10774,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,CP,
CEMBA180904_5J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,11581,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,LSX,
CEMBA180910_5J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,LSX,nuclei,8939,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,LSX,
CEMBA181001_5C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,12383,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSs,
CEMBA181002_5C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,13884,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSs,
CEMBA181008_5G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,13896,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA181009_5G,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,13913,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA181015_5H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,BST;SI,nuclei,14176,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,BST;SI,
CEMBA181016_5H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,BST;SI,nuclei,9419,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,BST;SI,
CEMBA181022_6B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,13820,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA181023_6B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,13395,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA181218_5F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB,nuclei,12729,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACB,
CEMBA181220_5F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACB,nuclei,12863,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACB,
CEMBA190108_6A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,12876,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA190110_7B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,12760,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA190115_7B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSp,nuclei,12871,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSp,
CEMBA190117_6A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA,nuclei,13142,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA,
CEMBA190122_6C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,12586,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSs,
CEMBA190124_6C,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,SSs,nuclei,12599,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,SSs,
CEMBA190131_6D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12816,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA190205_6D,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,PIR,nuclei,12917,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,PIR,
CEMBA190207_2A,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,ACA;PL;ILA,nuclei,12625,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,ACA;PL;ILA,
CEMBA190207_2E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,TTd;TTv;AON,nuclei,12526,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,TTd;TTv;AON,
CEMBA190212_9H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12709,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,HPF (CA1-CA3),
CEMBA190212_9J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12934,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,HPF (DG),
CEMBA190214_11E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12377,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,vHPF (CA1-CA3),
CEMBA190214_11F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,13016,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,vHPF (DG),
CEMBA190219_9H,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,12120,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,HPF (CA1-CA3),
CEMBA190219_9J,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12551,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q1,,,,HPF (DG),
CEMBA190305_11E,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,CA1;CA2;CA3,nuclei,11278,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,vHPF (CA1-CA3),
CEMBA190305_11F,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,DG,nuclei,12420,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,vHPF (DG),
CEMBA190314_11B,mouse,NCBI:txid10090,,wt/wt,epigenomics,ATAC-seq,VISp;VISI,nuclei,12316,Salk Institute for Biological Sciences,Bing Ren,1U19MH114831-01,ecker_sn_ATACseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,,2019Q2,,,,VISp;VISI,
