Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
GW18_2_temporal,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,cells,10103,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,temporal
GW18_2_TempVZ,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,tVZ,cells,8747,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,temporal - ventricular zone
GW18_2_V1VZ,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,oVZv1,cells,10743,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,V1 - ventricular zone
GW18_2_ventral_thalamus,human,NCBI:txid9606,GW18_2,,transcriptomics,10x Chromium 3' v3 sequencing,VTH,cells,2352,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/transcriptome/scell/,,2019Q4,,,ventral thalamus
GW16_hypo,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,HTH,cells,19544,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,hypothalamus,2020Q3,,,
GW16_MGE,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,MGE,cells,11514,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,MGE,2020Q3,,,
GW16_MotorVZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,fVZm1,cells,13669,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,motor cortex - ventricular zone,2020Q3,,,
GW16_motor,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,M1C,cells,10497,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,motor cortex,2020Q3,,,
GW16_ParietalVZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,pVZ,cells,9559,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,parietal cortex - ventricular zone,2020Q3,,,
GW16_PFC,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,PFC,cells,12130,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,PFC,2020Q3,,,
GW16_PFCVZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,PFCVZ,cells,11315,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,PFC - ventricular zone,2020Q3,,,
GW16_Somato,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,S1C,cells,11578,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,Somatosensory cortex,2020Q3,,,
GW16_SomatoVZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,pVZs1,cells,5760,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,Somatosensory cortex - ventricular zone,2020Q3,,,
GW16_Temporal,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,TCx,cells,11791,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,Temporal lobe,2020Q3,,,
GW16_TemporalVZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,tVZ,cells,9019,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,Temporal lobe - ventricular zone,2020Q3,,,
GW16_V1,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,V1,cells,11552,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,V1,2020Q3,,,
GW16_V1VZ,human,NCBI:txid9606,GW16,,transcriptomics,10x Chromium 3' v3 sequencing,oVZv1,cells,7672,University of California San Francisco,Arnold Kriegstein,1U01MH114825-01,kriegstein_sc_10x,kriegstein_sc_10xv3,NeMO,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell,V1 - ventricular zone,2020Q3,,,
