Sample ID,Sample Specimen Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age ,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,bcdc_sample_id,sample_id,Files per Sample
CEMBA180212_1C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOB;AOB;AON,cell nucleus,1266,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180212_1C,CEMBA180212_1C,3798
CEMBA180213_1B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ORB;FRP,cell nucleus,1404,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180213_1B,CEMBA180213_1B,4210
CEMBA180220_2E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,TTd;TTv;AON,cell nucleus,1445,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180220_2E,CEMBA180220_2E,4335
CEMBA180222_2E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,TTd;TTv;AON,cell nucleus,1253,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180222_2E,CEMBA180222_2E,3759
CEMBA180226_1A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1366,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180226_1A,CEMBA180226_1A,4101
CEMBA180227_1A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1100,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180227_1A,CEMBA180227_1A,3303
CEMBA180305_2B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1040,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180305_2B,CEMBA180305_2B,4006
CEMBA180306_2B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1418,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180306_2B,CEMBA180306_2B,3389
CEMBA180312_3B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1343,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180312_3B,CEMBA180312_3B,5095
CEMBA180313_2D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,544,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180313_2D,CEMBA180313_2D,1632
CEMBA180319_2D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,314,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180319_2D,CEMBA180319_2D,1995
CEMBA180320_3E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1339,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180320_3E,CEMBA180320_3E,4017
CEMBA180326_3E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1190,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180326_3E,CEMBA180326_3E,3573
CEMBA180329_4F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1336,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180329_4F,CEMBA180329_4F,4035
CEMBA180402_4F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1258,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180402_4F,CEMBA180402_4F,3780
CEMBA180403_2D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1608,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180403_2D,CEMBA180403_2D,3774
CEMBA180409_2C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1159,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180409_2C,CEMBA180409_2C,3477
CEMBA180410_2C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1049,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180410_2C,CEMBA180410_2C,3165
CEMBA180412_3D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,AI,cell nucleus,1114,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180412_3D,CEMBA180412_3D,3323
CEMBA180416_3D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,AI,cell nucleus,1294,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180416_3D,CEMBA180416_3D,3863
CEMBA180417_4C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1049,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180417_4C,CEMBA180417_4C,3150
CEMBA180419_4C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1005,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180419_4C,CEMBA180419_4C,3015
CEMBA180423_7B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1245,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180423_7B,CEMBA180423_7B,3741
CEMBA180424_7B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,917,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180424_7B,CEMBA180424_7B,2760
CEMBA180501_3B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOs,cell nucleus,1135,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180501_3B,CEMBA180501_3B,3492
CEMBA180514_5B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,850,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180514_5B,CEMBA180514_5B,2550
CEMBA180529_5B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1203,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180529_5B,CEMBA180529_5B,3609
CEMBA180605_5D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1140,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180605_5D,CEMBA180605_5D,3423
CEMBA180612_5D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,MOp,cell nucleus,1231,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q1,CEMBA180612_5D,CEMBA180612_5D,3696
CEMBA180426_8B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1287,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180426_8B,CEMBA180426_8B,3885
CEMBA180430_8B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1250,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180430_8B,CEMBA180430_8B,3770
CEMBA180904_5J,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,LSX,cell nucleus,148,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180904_5J,CEMBA180904_5J,181
CEMBA180910_5J,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,LSX,cell nucleus,959,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180910_5J,CEMBA180910_5J,2913
CEMBA180917_4G,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,LSX,cell nucleus,1019,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA180917_4G,CEMBA180917_4G,3311
CEMBA181002_5C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSs,cell nucleus,1190,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181002_5C,CEMBA181002_5C,3575
CEMBA181008_5G,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1312,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181008_5G,CEMBA181008_5G,3928
CEMBA181009_5G,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1329,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181009_5G,CEMBA181009_5G,2789
CEMBA181015_5H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,BST;SI,cell nucleus,1391,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181015_5H,CEMBA181015_5H,4254
CEMBA181016_5H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,BST;SI,cell nucleus,1317,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181016_5H,CEMBA181016_5H,2649
CEMBA181022_6B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1331,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181022_6B,CEMBA181022_6B,2723
CEMBA181023_6B,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSp,cell nucleus,1333,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181023_6B,CEMBA181023_6B,2676
CEMBA181204_4G,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,LSX,cell nucleus,959,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181204_4G,CEMBA181204_4G,3179
CEMBA181210_5C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSs,cell nucleus,1259,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181210_5C,CEMBA181210_5C,2541
CEMBA181218_5F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB,cell nucleus,765,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181218_5F,CEMBA181218_5F,3256
CEMBA181220_5F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACB,cell nucleus,1540,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA181220_5F,CEMBA181220_5F,3731
CEMBA190108_6A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA,cell nucleus,1336,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190108_6A,CEMBA190108_6A,4009
CEMBA190117_6A,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,ACA,cell nucleus,1340,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190117_6A,CEMBA190117_6A,4038
CEMBA190122_6C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSs,cell nucleus,1288,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190122_6C,CEMBA190122_6C,3907
CEMBA190124_6C,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,SSs,cell nucleus,1219,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190124_6C,CEMBA190124_6C,3661
CEMBA190131_6D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1231,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190131_6D,CEMBA190131_6D,3696
CEMBA190205_6D,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,PIR,cell nucleus,1353,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190205_6D,CEMBA190205_6D,4117
CEMBA190212_9H,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,cell nucleus,1190,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190212_9H,CEMBA190212_9H,3571
CEMBA190212_9J,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,DG,cell nucleus,1385,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190212_9J,CEMBA190212_9J,4157
CEMBA190214_11E,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,CA1;CA2;CA3,cell nucleus,1284,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190214_11E,CEMBA190214_11E,3855
CEMBA190214_11F,specimen,mouse,NCBI:txid10090,,,,,,wt/wt,epigenomics,mC-seq2,DG,cell nucleus,1363,Salk Institute for Biological Studies,Joseph Ecker,1U19MH114831-01,ecker_sn_mCseq,NEMO,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,,2019Q2,CEMBA190214_11F,CEMBA190214_11F,4096
