data_collection_reference_id,specimen_type_name,reported_count
sestan_sn_10xv3_human,library,37
sestan_sn_10xv3_human_pfc,library,16
sestan_sn_10xv3_nhp_adult,library,48738
sestan_sn_10xv3_nhp_adult_pfc,library,47
sestan_sn_10xv3_pig,library,9
snyder-mackler_macaque_scRNA,brain region,70
tasic_ATACseq,whole cell,221
tasic_sc_SSv4,whole cell,1975
tasic_stpt,whole brain,202
tilgner_sc_ONT,library,16
yang_morf_cells,whole cell,3723
yang_MORF_confocal,brain section set,33
zeng_anderson_sc_10xv2,whole cell,168877
zeng_anderson_sc_10xv3,library,16
zeng_expr_char,whole brain,53
zeng_fmost,whole brain,149
zeng_fmost_cells,whole cell,3439
zeng_mouselight,whole brain,1
zeng_retro,whole brain,994
zeng_sc_10xv2,whole cell,2519088
zeng_sc_10xv3,whole cell,2876028
zeng_sc_SSv4,whole cell,209193
zeng_sn_10xv2,cell nucleus,578917
zeng_sn_10xv3,cell nucleus,97407
zeng_sn_SSv4,cell nucleus,8741
zeng_tolias_pseq_e,cell in slice,1320
zeng_tolias_pseq_m,cell in slice,1320
zeng_tolias_pseq_t,cell nucleus,1320
zhangK_cj_snareseq_AC,cell nucleus,10780
zhangK_cj_snareseq_R,cell nucleus,12232
zhangK_hs_snareseq_AC,brain region,39
zhangK_hs_snareseq_R,brain region,39
zhangl_anatomy,spinal cord,22
zhangl_ephys,spinal cord slice,1
zhangl_kz_omics,cell nucleus,86974
zhangl_seqfish,spinal cord slice,6
zhuang_dulac_merfish_HYP_1,brain slice,200
zhuang_dulac_merfish_HYP_2,brain slice,1
zhuang_dulac_merfish_MOB,brain slice,355
zhuang_dulac_merfish_MOE,whole cell,3300000
zhuang_dulac_merfish_PAG,whole cell,2900000
zhuang_dulac_merfish_PAG_2,whole cell,2900000
zhuang_merfish_M1,whole cell,300000
zhuang_merfish_NAc,whole cell,750000
