person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Fangming Xie,Fangming Xie,Fangming,Xie,
Federico Scala,Federico Scala,Federico,Scala,
Fei Chen,Fei Chen,Fei,Chen,
Fenna Krienen,Fenna Krienen,Fenna,Krienen,
Filippo Maria Castelli,Filippo Maria Castelli,Filippo Maria,Castelli,
Francesco Pavone,Francesco Pavone,Francesco,Pavone,
Francisco Lopera,Francisco Lopera,Francisco,Lopera,
Franco Cheli,Franco Cheli,Franco,Cheli,
Gabor Molnar,Gabor Molnar,Gabor,Molnar,
Gabor Tamas,Gabor Tamas,Gabor,Tamas,
Giacomo Mazzamuto,Giacomo Mazzamuto,Giacomo,Mazzamuto,
Gregory D. Horwitz,Gregory D. Horwitz,Gregory D.,Horwitz,
Guang-Wei Zhang,Guang-Wei Zhang,Guangwei,Zhang,
Guoping Feng,Guoping Feng,Guoping,Feng,0000-0002-8021-277X
Hagen Tilgner,Hagen Tilgner,Hagen,Tilgner,
Hanchuan Peng,Hanchuan Peng,Hanchuan,Peng,0000-0002-3478-3942
Hanqing Liu,Hanqing Liu,Hanqing,Liu,0000-0002-5114-6048
Harris Kaplan,Harris Kaplan,Harris,Kaplan,
Heather Zaniewski,Heather Zaniewski,Heather,Zaniewski,
Hector Corrada Bravo,Hector Corrada Bravo,Hector Corrada,Bravo,
Henry Jiao,Henry Jiao,Henry,Jiao,
Herman Tung,Herman Tung,Herman,Tung,
Hong-Wei Dong,Hong-Wei Dong,Hong-Wei,Dong,0000-0001-9972-3177
Hongkui Zeng,Hongkui Zeng,Hongkui,Zeng,
Houri Hintiryan,Houri Hintiryan,Houri,Hintiryan,
Hui Gong,Hui Gong,Hui,Gong,0000-0001-5519-6248
Hui Wang,Hui Wang,Hui,Wang,
Huib Mansvelder,Huib Mansvelder,Huib,Mansvelder,
Huizhong Tao,Huizhong Tao,Huizhong,Tao,
I-Chun Anderson Chen,I-Chun Anderson Chen,I-Chun Anderson,Chen,0000-0001-6110-5285
Ian Bowman,Ian Bowman,Ian,Bowman,
Irene Costantini,Irene Costantini,Irene,Costantini,
Jacinta Lucero,Jacinta Lucero,Jacinta,Lucero,
Jackson Nolan,Jackson Nolan,Jackson,Nolan,
James Webber,James Webber,James,Webber,
Jamie Marshall,Jamie Marshall,Jamie,Marshall,
Jason Buenrostro,Jason Buenrostro,Jason,Buenrostro,
Jay Ashok Shendure,Jay Ashok Shendure,Jay Ashok,Shendure,
Jay Ma,Jay Ma,Jay,Ma,
Jayaram Chandrashekar,Jayaram Chandrashekar,Jayaram,Chandrashenkar,
Jayaram Kancherla,Jayaram Kancherla,Jayaram,Kancherla,
Jean Augustinack,Jean Augustinack,Jean,Augustinack,
Jee Yun Han,Jee Yun Han,Jee Yun,Han,
Jeff Goldy,Jeff Goldy,Jeff,Goldy,
Jeffrey G. Ojemann,Jeffrey G. Ojemann,Jeffrey G.,Ojemann,
Jeremy Miller,Jeremy Miller,Jeremy,Miller,
Jeroen Eggermont,Jeroen Eggermont,Jeroen,Eggermont,
Jerold Chun,Jerold Chun,Jerold,Chun,0000-0003-3964-0921
Jesse Gillis,Jesse Gillis,Jesse,Gillis,
Jessie Laffey,Jessie Laffey,Jessie,Laffey,
Jiarui Yang,Jiarui Yang,Jiarui,Yang,
Jinghui Song,Jinghui Song,Jinghui,Song,
Jingjing Li,Jingjing Li,Jingjing,Li,
Jocelyn Mora,Jocelyn Mora,Jocelyn,Mora,
Johana Gomez,Johana Gomez,Johana,Gomez,
Jon Bezney,Jon Bezney,Jon,Bezney,
Jonah Langlieb,Jonah Langlieb,Jonah,Langlieb,
Jonatan Perez,Jonatan Perez,Jonatan,Perez,
Jonathan Ting,Jonathan Ting,Jonathan,Ting,
Jordan Norwood,Jordan Norwood,Jordan,Norwood,
Josef Sulc,Josef Sulc,Josef,Sulc,
Joseph Ecker,Joseph Ecker,Joseph,Ecker,0000-0001-5799-5895
Joseph R. Nery,Joseph R. Nery,Joseph R.,Nery,
Josephine Liwang,Josephine Liwang,Josephine,Liwang,
Josephine Ramazzotti,Josephine Ramazzotti,Josephine,Ramazzotti,
Joshua Orvis,Joshua Orvis,Joshua,Orvis,
Juan Eugenio Iglesias Gonzalez,Juan Eugenio Iglesias,Juan Eugenio,Iglesias,0000-0001-7569-173X
Juhyuk Park,Juhyuk Park,Juhyuk,Park,
Julia Osteen,Julia Osteen,Julia,Osteen,0000-0001-7058-3297
Juliana Brown,Juliana Brown,Juliana,Brown,
Julie Harris,Julie Harris,Julie,Harris,
Junitta Guzman,Junitta Guzman,Junitta,Guzman,
Junjie Hao,Junjie Hao,Junjie,Hao,
Kai Zhang,Kai Zhang,Kai,Zhang,
Kanan Lathia,Kanan Lathia,Kanan,Lathia,
Karol Balderrama,Karol Balderrama,Karol,Balderrama,
Katelyn Flowers,Katelyn Flowers,Katelyn,Flowers,
Kathleen Kelly,Kathleen Kelly,Kathleen,Kelly,
Kathryn Evancic,Kathryn Evancic,Kathryn,Evancic,
Katie Matho,Katie Matho,Katie,Matho,
Kenny Chiou,Kenneth L. Chiou,Kenneth L.,Chiou,0000-0001-7247-4107
Kimberly Conklin,Kimberly Conklin,Kimberly,Conklin,
Kimberly Nestor,Kimberly Nestor,Kimberly,Nestor,
Kimberly Siletti,Kimberly Siletti,Kimberly,Siletti,
Kimberly Smith,Kimberly Smith,Kimberly,Smith,
Kirsten Crichton,Kirsten Crichton,Kirsten,Crichton,
Kirsten Levandowski,Kirsten Levandowski,Kirsten,Levandowski,
Kun Zhang,Kun Zhang,Kun,Zhang,0000-0002-7596-5224
Kwanghun Chung,Kwanghun Chung,Kwanghun,Chung,
Kwanho Kim,Kwanho Kim,Kwanho,Kim,
Kyra T. Newmaster,Kyra T. Newmaster,Kyra T.,Newmaster,
Laetitia Merle,Laetitia Merle,Laetitia,Merle,
Lauren DeLorenzo,Lauren DeLorenzo,Lauren,DeLorenzo,
Lauren Kruse,Lauren Kruse,Lauren,Kruse,
Lea M. Starita,Lea M. Starita,Lea M.,Starita,0000-0003-2870-5099
Leah Morgan,Leah Morgan,Leah,Morgan,
Lei Qu,Lei Qu,Lei,Qu,
Li Wang,Li Wang,Li,Wang,
Li Zhang,Li Zhang,Li,Zhang,
Lijuan Liu,Lijuan Liu,Lijuan,Liu,0000-0002-9548-6183
Lin Gou,Lin Gou,Lin,Gou,
Lin Lin,Lin Lin,Lin,Lin,
Liya Ding,Liya Ding,Liya,Ding,
Long Cai,Long Cai,Long,Cai,
Luca Pesce,Luca Pesce,Luca,Pesce,
Lucas Graybuck,Lucas Graybuck,Lucas,Graybuck,
Lucia Madrigal,Lucia Madrigal,Lucia,Madrigal,
Ludovico Silvestri,Ludovico Silvestri,Ludovico,Silvestri,
Luke Esposito,Luke Esposito,Luke,Esposito,
Margarita Behrens,M. Margarita Behrens,M. Margarita,Behrens,0000-0002-7168-8186
Maria A. Nagel,Maria A. Nagel,Maria A.,Nagel,
Marina Scardigli,Marina Scardigli,Marina,Scardigli,
Mario Skarica,Mario Skarica,Mario,Skarica,
Marmar Moussa,Marmar Moussa,Marmar,Moussa,
Martin O. Bohlen,Martin O. Bohlen,Martin O.,Bohlen,0000-0001-6522-146X
Matt Keefe,Matt Keefe,Matt,Keefe,
Matt Mallory,Matt Mallory,Matt,Mallory,
Matteo Roffilli,Matteo Roffilli,Matteo,Roffilli,
Matthew Frosch,Matthew Frosch,Matthew,Frosch,
Matthew Kroll,Matthew Kroll,Matthew,Kroll,
Matthew Vera,Matthew Vera,Matthew,Vera,
Medea McGraw,Medea McGraw,Medea,McGraw,
Megan Crow,Megan Crow,Megan,Crow,
Melissa Goldman,Melissa Goldman,Melissa,Goldman,
Meng Zhang,Meng Zhang,Meng,Zhang,0000-0002-9753-0635
Mengyu Liu,Mengyu Liu,Mengyu,Liu,
Merina Varghese,Merina Varghese,Merina,Varghese,
Michael J. Montague,Michael J. Montague,Michael J.,Montague,0000-0003-0253-4404
Michael Miller,Michael Miller,Michael,Miller,
Michael Platt,Michael L. Platt,Michael L.,Platt,0000-0003-3912-8821
Michael Tieu,Michael Tieu,Michael,Tieu,
Mike Hawrylycz,Mike Hawrylycz,Mike,Hawrylycz,
Mike Nunn,Michael Nunn,Michael,Nunn,0000-0002-6771-9912
Mitchell Rudd,Mitchell Rudd,Mitchell,Rudd,
Mohamed N. Djekidel,Mohamed N. Djekidel,Mohamed N.,Djekidel,
Morgan Fogarty,Morgan Fogarty,Morgan,Fogarty,
Naeem Nadaf,Naeem Nadaf,Naeem,Nadaf,
Nafiseh Yavari,Nafiseh Yavari,Nafiseh,Yavari,
Nathan Guilford,Nathan Guilford,Nathan,Guilford,
Nenad Sestan,Nenad Sestan,Nenad,Sestan,
Niamh Brady,Niamh Brady,Niamh,Brady,
Nick Dee,Nick Dee,Nick,Dee,
Nick Foster,Nick Foster,Nick,Foster,
Nick Johnson,Nicholas D. Johnson,Nicholas D.,Johnson,0000-0003-3229-6849
Nico Pierson,Nico Pierson,Nico,Pierson,
Nikolai Dembrow,Nikolai Dembrow,Nikolai,Dembrow,
Nikolas Jorstad,Nikolas Jorstad,Nikolas,Jorstad,
Nina Sachdev,Nina Sachdev,Nina,Sachdev,
Noah Snyder-Mackler,Noah Snyder-Mackler,Noah,Snyder-Mackler,
Nongluk Plongthongkum,Nongluk Plongthongkum,Nongluk,Plongthongkum,
Nora Emerson,Nora Emerson,Nora,Emerson,
Nora M. Reed,Nora M. Reed,Nora M.,Reed,
Olivier Poirion,Olivier Poirion,Olivier,Poirion,
Owen White,Owen White,Owen,White,
Paola Arlotta,Paola Arlotta,Paola,Arlotta,
Partha Mitra,Partha Mitra,Partha,Mitra,
Patrick Hof,Patrick Hof,Patrick,Hof,
Pavel Osten,Pavel Osten,Pavel,Osten,
Peng Xie,Peng Xie,Peng,Xie,0000-0002-9509-7268
Peter Kharchenko,Peter Kharchenko,Peter,Kharchenko,
Qian Yang,Qian Yang,Qian,Yang,
Qingming Luo,Qingming Luo,Qingming,Luo,0000-0002-6725-9311
Qiwen Hu,Qiwen Hu,Qiwen,Hu,
Quanxin Wang,Quanxin Wang,Quanxin,Wang,
Rachel Dalley,Rachel Dalley,Rachel,Dalley,
Ramesh Palaniswamy,Ramesh Palaniswamy,Ramesh,Palaniswamy,0000-0003-4322-2407
Rebecca Betty,Rebecca Betty,Rebecca,Betty,
Rebecca de Frates,Rebecca de Frates,Rebecca,de Frates,
Rebecca Hodge,Rebecca Hodge,Rebecca,Hodge,
Renchao Chen,Renchao Chen,Renchao,Chen,
Renee Zhang,Renee Zhang,Renee,Zhang,
Richard G. Ellenbogen,Richard G. Ellenbogen,Richard G.,Ellenbogen,
Richard H. Scheuermann,Richard H. Scheuermann,Richard H.,Scheuermann,
Robert Frost,Robert Frost,Robert,Frost,
Rogeny Herisse,Rogeny Herisse,Rogeny,Herisse,
Rongxin Fang,Rongxin Fang,Rongxin,Fang,
Ronna Hertzano,Ronna Hertzano,Ronna,Hertzano,
Rosa Castanon,Rosa Castanon,Rosa,Castanon,
Rusty Nicovich,Rusty Nicovich,Rusty,Nicovich,
Ryan Ziffra,Ryan Ziffra,Ryan,Ziffra,
Ryder P. Gwinn,Ryder P. Gwinn,Ryder P.,Gwinn,
Samantha Kuan,Samantha Kuan,Samantha,Kuan,
Samantha Serrano,Samantha Serrano,Samantha,Serrano,
Sara Sime,Sara Sime,Sara,Sime,
Saroja Somasundaram,Saroja Somasundaram,Saroja,Somasundaram,
Scott Owen,Scott Owen,Scott,Owen,
Sean Young,Sean Young,Sean,Young,
Sebastian Preissl,Sebastian Preissl,Sebastian,Preissl,0000-0001-8971-5616
Seth Ament,Seth Ament,Seth,Ament,
Seth Frietze,Seth Frietze,Seth,Frietze,
Shahul Alam,Shahul Alam,Shahul,Alam,
Shengdian Jiang,Shengdian Jiang,Shengdian,Jiang,
Shenqin Yao,Shenqin Yao,Shenqin,Yao,
Shih-Chi Chen,Shih-Chi Chen,Shih-Chi,Chen,
Shuaibin Chang,Shuaibin Chang,Shuaibin,Chang,
Song-Lin Ding,Song-Lin Ding,Song-Lin,Ding,
Songpeng Zu,Songpeng Zu,Songpeng,Zu,0000-0001-9753-5623
Sophia Raia,Sophia Raia,Sophia,Raia,
Staci A. Sorensen,Staci A. Sorensen,Staci A.,Sorensen,
Sten Linnarsson,Sten Linnarsson,Sten,Linnarsson,
Stephan Fischer,Stephan Fischer,Stephan,Fischer,
Stephen Eichhorn,Stephen Eichhorn,Stephen,Eichhorn,
Steven McCarroll,Steven McCarroll,Steven,McCarroll,0000-0002-6954-8184
Surya Nagaraja,Surya Nagaraja,Surya,Nagaraja,
Susan Sunkin,Susan Sunkin,Susan,Sunkin,
Tamara Casper,Tamara Casper,Tamara,Casper,
Tanya Daigle,Tanya Daigle,Tanya,Daigle,
Tay Won Shin,Tay Won Shin,Tay Won,Shin,
Thanh Pham,Thanh Pham,Thanh,Pham,
Thomas Höllt,Thomas Höllt,Thomas,Höllt,
Thuc Nguyen,Thuc Nguyen,Thuc,Nguyen,
Timothy R. Blosser,Timothy R. Blosser,Timothy R.,Blosser,
Timothy Tickle,Timothy Tickle,Timothy,Tickle,
Tom Chartrand,Tom Chartrand,Tom,Chartrand,
Tomasz Nowakowski,Tomasz Nowakowski,Tomasz,Nowakowski,
Trangthanh Pham,Trangthanh Pham,Trangthanh,Pham,
Trisha M. Zintel,Trisha M. Zintel,Trisha M.,Zintel,
Trygve Bakken,Trygve Bakken,Trygve,Bakken,
Ulrich Mueller,Ulrich Mueller,Ulrich,Mueller,
Velina Kozareva,Velina Kozareva,Velina,Kozareva,
Vijay Ramakrishnan,Vijay Ramakrishnan,Vijay,Ramakrishnan,
Vladislav Gavryusev,Vladislav Gavryusev,Vladislav,Gavryusev,
Vy Vuong,Vy Vuong,Vy,Vuong,
Wei Tian,Wei Tian,Wei,Tian,0000-0002-2146-1717
Wei Xie,Wei Xie,We,Xie,
Weixiu Dong,Weixiu Dong,Weixiu,Dong,
Wendy Macklin,Wendy Macklin,Wendy,Macklin,
William Ammon,William Ammon,William,Ammon,
William J. Spain,William J. Spain,William J.,Spain,
William Romanow,William Romanow,William,Romanow,
Won Jung,Won Jung,Won,Jung,
X. William Yang,X. William Yang,William,Yang,
Xiangning Li,Xiangning Li,Xiangning,Li,0000-0002-3747-2824
Xiaomeng Hou,Xiaomeng Hou,Xiaomeng,Hou,
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
Xin Wang,Xin Wang,Xin,Wang,
Xingfan Huang,Xingfan Huang,Xingfan,Huang,
Xinxin Wang,Xinxin Wang,Xinxin,Wang,
Xiuli Kuang,Xiuli Kuang,Xiuli,Kuang,
Yael Balbastre,Yael Balbastre,Yael,Balbastre,
Yang Eric Li,Yang Eric Li,Yang Eric,Li,0000-0001-6997-6018
Yang Li,Yang Li,Yang,Li,0000-0001-6997-6018
Yi Zhang,Yi Zhang,Yi,Zhang,
Yida Zhang,Yida Zhang,Yida,Zhang,
Yimin Wang,Yimin Wang,Yimin,Wang,
Yimin Zou,Yimin Zou,Yimin,Zou,
Yongsoo Kim,Yongsoo Kim,Yongsoo,Kim,
Yuelai Wang,Yuelai Wang,Yuelai,Wang,
Yun Wang,Yun Wang,Yun,Wang,
Yunjiang Qiu,Yunjiang Qiu,Yunjiang,Qiu,0000-0002-0539-9714
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,
Zhaoning Wang,Zhaoning Wang,Zhaoning,Wang,
Zhengzheng S. Liang,Zhengzheng S. Liang,Zhengzheng S.,Liang,
Ziyang Zhang,Ziyang Zhang,Ziyang,Zhang,
Zizhen Yao,Zizhen Yao,Zizhen,Yao,
Zongcai Ruan,Zongcai Ruan,Zongcai,Ruan,
