protocol_reference_id,protocol_title,protocol_short_title,view_web_resource_reference_id
protocol https://doi.org/10.17504/protocols.io.bpbuminw,Patch-Seq Recording and Extraction Detailed Protocol,Patch-Seq Recording and Extraction Detailed Protocol,https://doi.org/10.17504/protocols.io.bpbuminw
protocol https://doi.org/10.17504/protocols.io.bq64mzgw,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,https://doi.org/10.17504/protocols.io.bq64mzgw
protocol https://doi.org/10.17504/protocols.io.bvv6n69e,Library Generation using Slide-seqV2 V.2,Library Generation using Slide-seqV2 V.2,https://doi.org/10.17504/protocols.io.bvv6n69e
protocol https://doi.org/10.17504/protocols.io.mepc3dn,RNA Imaging with Multiplexed Error Robust Fluorescence in situ Hybridization,RNA Imaging with MERFISH,https://doi.org/10.17504/protocols.io.mepc3dn
protocol https://doi.org/10.17504/protocols.io.metc3en,RNA Imaging with MERFISH - Data Analysis,MERFISH Data Analysis,https://doi.org/10.17504/protocols.io.metc3en
protocol https://dx.doi.org/10.17504/protocols.io.7d5hi86,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,https://dx.doi.org/10.17504/protocols.io.7d5hi86
protocol https://dx.doi.org/10.17504/protocols.io.7d6hi9e,SMARTerV4 (1x) Amplification for single-cell or single-nuclei RNASeq Protocol,SMARTerV4 (1x) Amplification for single-cell or single-nuclei RNASeq Protocol,https://dx.doi.org/10.17504/protocols.io.7d6hi9e
protocol https://dx.doi.org/10.17504/protocols.io.bavuie6w,10x Act-Seq Tissue Preparation Protocol,10x Act-Seq Tissue Preparation Protocol,https://dx.doi.org/10.17504/protocols.io.bavuie6w
protocol https://dx.doi.org/10.17504/protocols.io.be4cjgsw,FACS Single Cell Sorting V.4,FACS Single Cell Sorting V.4,https://dx.doi.org/10.17504/protocols.io.be4cjgsw
protocol https://dx.doi.org/10.17504/protocols.io.bq6wmzfe,Slice Preparation with Tissue Dissociation - Mouse Protocol V.2,Slice Preparation with Tissue Dissociation - Mouse Protocol V.2,https://dx.doi.org/10.17504/protocols.io.bq6wmzfe
protocol https://dx.doi.org/10.17504/protocols.io.bq6ymzfw,Human Tissue Slicing and Dissections for Nuclear Isolations V.3,Human Tissue Slicing and Nuclear Isolations,https://dx.doi.org/10.17504/protocols.io.bq6ymzfw
protocol https://dx.doi.org/10.17504/protocols.io.bq7cmziw,10xV3 Genomics Sample Processing Protocol V.2,10xV3 Genomics Sample Processing Protocol V.2,https://dx.doi.org/10.17504/protocols.io.bq7cmziw
protocol https://dx.doi.org/10.17504/protocols.io.bq7dmzi6,Isolation of Nuclei from Adult Human Brain Tissue,Human Nuclei Isolation,https://dx.doi.org/10.17504/protocols.io.bq7dmzi6
protocol https://dx.doi.org/10.17504/protocols.io.bq7emzje,Isolation of Nuclei from Adult Mouse Brain Tissue Protocol V.2,Isolation of Nuclei from Adult Mouse Brain Tissue Protocol V.2,https://dx.doi.org/10.17504/protocols.io.bq7emzje
protocol https://dx.doi.org/10.17504/protocols.io.brdjm24n,Nextera XT at 0.2X On the Mantis V.2,Nextera XT at 0.2X On the Mantis V.2,https://dx.doi.org/10.17504/protocols.io.brdjm24n
protocol https://dx.doi.org/10.17504/protocols.io.bsfdnbi6,Mouse Whole Cell Tissue Processing for 10x Genomics Platform V.8,Mouse Whole Cell Tissue Processing for 10x Genomics Platform V.8,https://dx.doi.org/10.17504/protocols.io.bsfdnbi6
protocol https://dx.doi.org/10.17504/protocols.io.bzdsp26e,SNARE-seq2 V.4,SNARE-seq2 V.4,https://dx.doi.org/10.17504/protocols.io.bzdsp26e
protocol https://dx.doi.org/10.17504/protocols.io.metc3en,RNA Imaging with MERFISH - Data Analysis,RNA Imaging with MERFISH,https://dx.doi.org/10.17504/protocols.io.metc3en
protocol https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/demonstrated-protocol-nuclei-isolation-from-complex-tissues-for-single-cell-multiome-atac-gene-expression-sequencing,Nuclei Isolation from Complex Tissues for Single Cell Multiome ATAC + Gene Expression Sequencing,10X Genomics Multiome Protocol,https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/demonstrated-protocol-nuclei-isolation-from-complex-tissues-for-single-cell-multiome-atac-gene-expression-sequencing
protocol https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/user-guide-chromium-next-gem-single-cell-multiome-atac-gene-expression-reagent-kits-user-guide,Chromium Next GEM Single Cell Multiome ATAC + Gene Expression Reagent Kits User Guide,10X Genomics Multiome Protocol,https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/user-guide-chromium-next-gem-single-cell-multiome-atac-gene-expression-reagent-kits-user-guide
protocol https://vizgen.com/wp-content/uploads/2021/10/91600002_MERSCOPE-Fresh-and-Fixed-Frozen-Tissue-Sample-Preparation-User-Guide.pdf,MERSCOPE User Guide: Fresh and Fixed Frozen Tissue Sample Preparation,MERSCOPE Sample Preparation Protocol,https://vizgen.com/wp-content/uploads/2021/10/91600002_MERSCOPE-Fresh-and-Fixed-Frozen-Tissue-Sample-Preparation-User-Guide.pdf
protocol https://vizgen.com/wp-content/uploads/2022/03/91600001_MERSCOPE-Instrument-User-Guide.pdf,MERSCOPE Instrument User Guide,MERSCOPE Instrument User Guide,https://vizgen.com/wp-content/uploads/2022/03/91600001_MERSCOPE-Instrument-User-Guide.pdf
protocol https://www.biospyder.com/tempo-seq-workflow,TempO-Seq Workflow,TempO-Seq Workflow,https://www.biospyder.com/tempo-seq-workflow
protocol https://www.pacb.com/wp-content/uploads/Iso-Seq-Express-Library-Preparation-Using-SMRTbell-Express-Template-Prep-Kit-2.0-%E2%80%93-Customer-Training.pdf,Iso-Seq Express Library Preparation Using SMRTbell Express Template Prep Kit 2.0,PacBio Iso-Seq Protocol,https://www.pacb.com/wp-content/uploads/Iso-Seq-Express-Library-Preparation-Using-SMRTbell-Express-Template-Prep-Kit-2.0-%E2%80%93-Customer-Training.pdf
