Grant,Project,Collection,Archive URL,License,Collection short title,Collection title,Collection description,Project short title,Project title,Project description
U01 Feng,feng_sn_dropseq_proj,feng_sn_dropseq,http://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/scell/,CCBY4,Dropseq,A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq,Single nucleus RNA sequencing of cells from marmoset brain.,Dropseq,A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq,Single nucleus RNA sequencing of cells from marmoset brain.
U01 Fischl,fischl_oct_proj,fischl_oct,,,Volumetric OCT data,Serial sectioning block-face polarization sensitive optical coherence tomography of ex vivo human brain blocks,Volumetric OCT data collected from ex vivo human brain area BA 44/45 after index matching with 60% v/v TDE. Serial sectioning was performed with a slice thickness of 500 um. Block-face OCT acquisition was performed with a 4x objective with 5 um isotropic resolution. Each image tile has FOV of 3x3 mm2 and was stitched with adjacent image tiles during post-processing. The focal plane depth was shifted three times for each slice to cover the whole thickness of the 500um slice.,OCT,Serial sectioning block-face polarization sensitive optical coherence tomography of ex vivo human brain blocks,Volumetric OCT data collected from ex vivo human brain area BA 44/45 after index matching with 60% v/v TDE. Serial sectioning was performed with a slice thickness of 500 um. Block-face OCT acquisition was performed with a 4x objective with 5 um isotropic resolution. Each image tile has FOV of 3x3 mm2 and was stitched with adjacent image tiles during post-processing. The focal plane depth was shifted three times for each slice to cover the whole thickness of the 500um slice.
U01 Fischl,fischl_mri_proj,fischl_mri,,,MRI data of left hemisphere ,Multi-resolution structural and diffusion MRI for the ex vivo whole human hemisphere,Multi-resolution structural and diffusion MRI collected on ex vivo whole human hemispheres at field strengths of 3 T and 7 T. This dataset provides undistorted volumetric images of the human cerebral cortex to facilitate an MRI-based atlas coordinate system to which distorted histological cell typic can be registered.,MRI,Multi-resolution structural and diffusion MRI for the ex vivo whole human hemisphere,Multi-resolution structural and diffusion MRI collected on ex vivo whole human hemispheres at field strengths of 3 T and 7 T. This dataset provides undistorted volumetric images of the human cerebral cortex to facilitate an MRI-based atlas coordinate system to which distorted histological cell typic can be registered.
U01 Kriegstein,kriegstein_sc_ATACseq_proj,kriegstein_sc_ATACseq,,CCBY4,Single cell ATAC-seq,Single-Cell ATAC-seq of the Developing Human Brain,"Chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq).",Single cell ATAC-seq,Single-Cell ATAC-seq of the Developing Human Brain,"Dynamic changes in chromatin accessibility coincide with important aspects of neuronal differentiation, such as fate specification and arealization and confer cell type-specific associations to neurodevelopmental disorders. However, studies of the epigenomic landscape of the developing human brain have yet to be performed at single-cell resolution. Here, we profiled chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq). We identified thousands of loci that undergo extensive cell type-specific changes in accessibility during corticogenesis. Chromatin state profiling also reveals novel distinctions between neural progenitor cells from different cortical areas not seen in transcriptomic profiles and suggests a role for retinoic acid signaling in cortical arealization. Comparison of the cell type-specific chromatin landscape of cerebral organoids to primary developing cortex found that organoids establish broad cell type-specific enhancer accessibility patterns similar to the developing cortex, but lack many putative regulatory elements identified in homologous primary cell types. Together, our results reveal the important contribution of chromatin state to the emerging patterns of cell type diversity and cell fate specification and provide a blueprint for evaluating the fidelity and robustness of cerebral organoids as a model for cortical development."
U01 Kriegstein,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,CCBY4,10x 3' v2 sequencing,Single-Cell Sequencing of the Developing Human Brain,Single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples.,10x 3' v2 sequencing,Single-Cell Sequencing of the Developing Human Brain,"The human brain is composed of diverse cell types across brain regions that enable unique capabilities. Within the brain, the cerebral cortex is responsible for a number of cognitive functions and sensory integration, with distinct cortical regions controlling a variety of tasks including motion, vision, speech, and judgment. Recent work exploring the cell types of two distinct cortical regions in the human and mouse suggests that excitatory neurons are area specific and emerge during developmental stages of peak neurogenesis. However, further characterization of cortical arealization is required to understand whether gradients, sharp boundaries, or some combination of patterns describes the areal distribution of neurons and other cortical cell types. Importantly, accurate modeling of cortical development and understanding biological constraints for any attempts at stem cell therapies requires characterizing when neuroepithelia or radial glia transition from a uniform population into areal specific progenitors, and the degree to which they are committed to an areal fate. In order to comprehensively characterize the areal diversity of cell types during human development, we performed single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples. With over a million cells, we identify hundreds of cells types including temporal and area specific neurons, interneurons and radial glia populations, as well as a number of subtypes from each of these classes that are expressed across most cortical areas. Additionally, we find a small number of subpopulations of neuroepithelial cells and identify several key pathways that may regulate the switch from neuroepithelia to radial glia identity. Together, these datasets suggest a model of both area restricted progenitor populations as well as radial glia cell types that are observed across cortical regions, suggesting an orchestrated interplay of fate determination that gives rise to the required cell diversity of the human cerebral cortex."
U01 Kriegstein,kriegstein_sn_10x_proj,kriegstein_sn_10xv2,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,CCBY4,10x 3' v2 sequencing,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,Single-nucleus RNA sequencing (snRNA-seq) of more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas.,10x 3' v2 sequencing,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,"Human cortical development spans years of prenatal and postnatal development. This incredibly complex process involves multiple interacting cell lineages and dynamic processes, such as neurogenesis and gliogenesis, neuronal migration, cell differentiation, areal specification, axon outgrowth and synapse formation and maturation. Human cortical development proceeds through a number of critical stages that are believed to be affected in neurodevelopmental and psychiatric diseases, such as autism spectrum disorder and schizophrenia. In order to investigate the dynamic landscape of human cortical development at the single-cell resolution, we utilized single-nucleus RNA sequencing (snRNA-seq) to profile more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas. We included samples ranging from second and third trimesters of prenatal development though neonatal and early postnatal stages to teenage and early adult years. By using unbiased nuclei isolation coupled with droplet-based single-cell profiling (10x Genomics), we generated over 300,000 single-nucleus transcriptomics profiles. We performed unbiased clustering, marker discovery and trajectory analysis, and were able to discover gene expression programs that underlie generation of subtypes of cortical projection neurons, interneurons and glial cell types, as well as critical process of development, such as generation of astrocytes, axon outgrowth, synapse formation and formation of mature cortical neuronal circuits. By intersecting cell type-specific developmental gene expression profiles with known genetic risk factors of neurodevelopmental disorders, we were able to identify cell types and developmental stages that can be especially affected in autism spectrum disorder and schizophrenia, leading to improper formation and function of specific cortical circuits. Our study sheds light on cell type-specific mechanisms of normal cortical development and cell types and processes affected in common neurodevelopmental disease. In addition, our rich single-nucleus transcriptomic atlas will be of great value to a wide range of neuroscientists."
U01 Lein,human_cortex,human_cortex_SS4_restricted_limited,,AIBSTOU; CCBY4,Controlled RS human ctx RNAseq,Controlled Access RS human cortex RNAseq,"Single cell RNA sequencing data on human nuclei from middle temporal gyrus (MTG), profiled by SMART-seq v4 and consented for use in the study of the brain in health and disease (controlled access) available under Allen Terms of Use.",Human CTX SSv4,Human Multiple Cortical Areas - SMART-seq,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia."
U01 Lein,lein_sn_SSv4_proj,lein_sn_SSv4,,,SMART-seq v4,Transcriptomic characterization of cell types in human brain,Deep transcriptomic analysis of hippocampus and dorsolateral prefrontal cortex.,SMART-seq v4,Transcriptomic characterization of cell types in human brain,Deep transcriptomic analysis of hippocampus and dorsolateral prefrontal cortex
U01 Lein,lein_sn_10x,lein_sn_10xv2,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,,10x 3' v2 sequencing,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord.,10x 3' v2 sequencing,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord
U01 Lein,human_cortex,human_cortex_SS4_restricted_GRU,,AIBSTOU; CCBY4,Controlled Access General Research Use RNAseq files,Controlled Access General Research Use human cortex RNAseq,"Single cell RNA sequencing data on human nuclei from human cortical areas MTG, M1C, CgGr, V1C, S1C, and A1C, profiled by SMART-seq v4 and consented for general research use (controlled access) available under Allen Terms of Use.",Human CTX SSv4,Human Multiple Cortical Areas - SMART-seq,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia."
U01 Lein,lein_sn_10x,lein_sn_10xv3,,,10x 3' v3 sequencing,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord.,10x 3' v2 sequencing,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord
U01 Lein,human_cortex,human_cortex_SS4_counts,https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-smart-seq,AIBSTOU; CCBY4,Human multiple cortical areas gene counts and taxonomy,Human multiple cortical areas gene counts and taxonomy,"Results of analysis of single cell RNAsequencing data from 5 cortical areas including motor cortex, visual cortex, anterior cingulage, medial temporal gyrus, somatosensory and auditory cortex.  Includes gene counts per cell and per cluster, and taxonomy information.",Human CTX SSv4,Human Multiple Cortical Areas - SMART-seq,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia."
U01 Lein,human_cortex,human_cortex_SS4_Open_GRU,,AIBSTOU; CCBY4,Open access human cortex RNAseq files,Open access human cortex RNAseq files,"Single cell RNA sequencing data on human nuclei from human cortical areas M1C and DFC, profiled by SMART-seq v4 and consented for open access. This data is available under the Creative Commons - Attribution 4.0 International license (CCBY4).",Human CTX SSv4,Human Multiple Cortical Areas - SMART-seq,"To investigate the cellular diversity across human cortex, we used SMART-Seq v4 single nucleus RNA-sequencing that provides a relatively unbiased survey of cell types and can be applied to neurosurgical and frozen, postmortem tissue. Individual layers of cortex were dissected from brain tissues including the middle temporal gyrus (MTG), anterior cingulate gyrus (CgGr), primary visual cortex (V1C), primary motor cortex (M1C), primary somatosensory cortex (S1C) and primary auditory cortex (A1C), and nuclei were dissociated and sorted using the neuronal marker NeuN. In total, nuclei from MTG were sampled from four postmortem donor brains and four neurosurgical donor brains and nuclei from the remaining regions were sampled from 3 postmortem donor brains. Profiled nuclei included approximately 90% neurons and 10% glia."
U01 Osten,osten_stpt_proj,osten_stpt,http://download.brainimagelibrary.org/biccn/osten/cellcounting/,CCBY4,Serial two photon tomography,Whole Brain Quantitative Cell-Type Atlasing in Adult Male and Female Mouse,Serial two photon tomography of brains of fluorescently labeled cell types.,Serial two photon tomography,Whole Brain Quantitative Cell-Type Atlasing in Adult Male and Female Mouse.,"The stereotyped distribution of brain cell types, their numbers and ratios in all anatomical regions, is a fundamental determinant of brain functions, yet classical stereological methods have been too laborious to allow comprehensive analyses across animals and genders. Here we apply our quantitative brainwide (qBrain) cell-type mapping platform, comprising cell-type labeling, single-cell resolution imaging by serial two-photon tomography (STPT), and automated computational analyses, to map the stereotyped distributions of over thirty neuronal and glia cell types in male and female mouse brain. We discover detailed organizing principles underlying known functions of sensory, motor and cognitive cortical circuitries, as well as over a dozen of sex-dimorphic cell-type distributions primarily in brain structures of the vomeronasal system regulating reproductive and social behaviors. The qBrain atlas provides a unique anatomical resource that can be mined to link stereotyped aspects of neuronal distributions to known and unknown functions of diverse brain areas. "
U01 Yang,yang_MORF_confocal_proj,yang_MORF_confocal,http://download.brainimagelibrary.org/biccn/yang/morf/confocal/,CCBY4,Dendritome mapping,Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons,"Imaging of mouse tissue labeled by Mosaicism with Repeat Frameshift (MORF), which enables sparsely and stochastically labeling of genetically-defined neurons in mice.",Dendritome mapping,Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons,"Integrating molecular, morphological, and connectomic properties is critical for unbiased classification of neuronal cell types in the mammalian brain. Here we propose a novel approach to classify neuronal cell types by brainwide comprehensive profiling of the dendritic morphology of genetically-defined neurons in the mouse brain. We have developed an innovative mouse genetic tool, called Mosaicism with Repeat Frameshift (or MORF), which enables sparsely and stochastically labeling of genetically-defined neurons in mice. MORF reporter mice can label in exquisite detail single neurons from dendrite and spines to axons and axonal terminals at a labeling frequency of 1-5% of a given neuronal population. We propose to cross our new MORF lines with Cre mouse lines for striatal medium spiny neurons (MSNs) of direct- and indirect pathways, and for cortical pyramidal neurons of distinct cortical layers (i.e. L2/3/4, L5 and L6). Each MORF/Cre mouse will allow us to image the detailed dendritic morphology for thousands of genetically-defined striatal and cortical neurons (i.e. dendritome). We have also developed and streamlined imaging and computational tools to acquire and register brainwide single neuron morphological data onto a standard reference mouse brain atlas. We will digitally reconstruct hundreds of thousands of MORF-labeled neurons using our novel program called G-Cut. Reconstructed neurons will subsequently used for morphology based clustering to define new morphological subtypes, which in turn can be analyzed for the expression of novel molecular markers neuronal cell types (e.g. from single cell RNA-sequencing).  Finally, we will disseminate the data to the Brain Cell Data Center (BCDC) for data integration with those from other BRAIN Initiative Cell Census Network (BICCN) and for data access by the broader neuroscience research community. "
U01 ZhangKun,zhangK_snareseq,zhangK_cj_snareseq_R,,CCBY4,Marmoset RNA-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets generated from 2 different marmoset MOp samples provided by Guoping Feng's group.",SNARE-seq ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets genereted from 2 different marmoset MOp samples provided by Guoping Feng's group."
U01 ZhangKun,zhangK_snareseq,zhangK_hs_snareseq_AC,,CCBY4,Human ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. ",SNARE-seq ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets genereted from 2 different marmoset MOp samples provided by Guoping Feng's group."
U01 ZhangKun,zhangK_snareseq,zhangK_hs_snareseq_R,,CCBY4,Human RNA-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~90,000 dual-omic data sets of human primary motor cortex (MOp) SNARE-seq2 data sets that were generated using samples from 2 individuals provided by the Allen Brain Institute. ",SNARE-seq ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets genereted from 2 different marmoset MOp samples provided by Guoping Feng's group."
U01 ZhangKun,zhangK_snareseq,zhangK_cj_snareseq_AC,http://data.nemoarchive.org/biccn/grant/zhang/zhang/,CCBY4,Marmoset ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets generated from 2 different marmoset MOp samples provided by Guoping Feng's group.",SNARE-seq ATAC-seq,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets genereted from 2 different marmoset MOp samples provided by Guoping Feng's group."
U01 ZhangLi,zhangl_anatomy_proj,zhangl_anatomy,,CCBY4,Brain-Spinal Cord Connectome - LSM,Cell Atlas of Mouse Brain-Spinal Cord Connectome using Light Sheet Microscopy,,Brain-Spinal Cord Connectome - LSM,Cell Atlas of Mouse Brain-Spinal Cord Connectome using Light Sheet Microscopy,
U01 ZhangLi,zhangl_seqfish_proj,zhangl_seqfish,http://download.brainimagelibrary.org/biccn/zhangl/seqfish/,CCBY4,Spinal cord connectome seqFish,Cell Atlas of Mouse Brain-Spinal Cord Connectome using seqFISH,Deep transcriptomic analysis of the mouse spinal cord.,Spinal cord connectome seqFish,Cell Atlas of Mouse Brain-Spinal Cord Connectome using seqFISH,Deep transcriptomic analysis of the mouse spinal cord.
U19 Ecker,ecker_sn_mCseq_retro_proj,ecker_sn_mCseq_retro,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,CCBY4,Methylation projection neurons,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Single nucleus DNA methylation data from cells labeled by retrograde tracers.,Methylation projection neurons,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1).,"The goal is to generate single nucleus methyl-C DNA sequence data from purified projection neurons from >100 neuronal circuits in the mouse brain. Recombinant AAV is injected bilaterally into selected brain regions in INTACT mice (B6.129-Gt(ROSA)26Sortm5(CAG-Sun1/sfGFP)Nat/MmbeJ animals in the C57BL/6 background, Jax stock #030952 @ two male and two female animals per injection site). Two weeks post AAV infection (P56), dissection of mouse brains follows the slice/region isolation protocol used in RS1. GFP-positive nuclei of projection neurons are isolated from the tissue segments pooled from selected anatomical regions that are known to project to the initial injection target, and subjected to single nuclei methyl-C DNA sequence analysis (snmC-seq2). Over 100 brain region pairings are analyzed from both male and female mice."
U19 Ecker,ecker_sn_mCseq_proj,ecker_sn_mCseq,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,CCBY4,Methylation nuclei,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Single nucleus DNA methylation data.,Methylation nuclei,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1).,"The goal is to generate single nucleus methyl-C genomic DNA sequencing data from isolated cells from >100 regions of the mouse brain for both cell-type classification and the identification of regulatory elements. The brains of adult male C57BL/6J mice (P56) were sliced into 18 ? 600 micron thick coronal sections and tissues isolated from selected regions in each slice were pooled separately (6-30 animals per region, hemispheres combined). NeuN-positive and NeuN-negative cell nuclei were purified from each pool, and isolated nuclei subjected to single nuclei methyl-C DNA sequencing (snmC-seq2). (Note: The same tissue pools were used in both RS1.1 and RS1.2.) Over 100 selected brain regions were sampled across both brain hemispheres in male mice."
U19 Ecker,ecker_trio_proj,ecker_trio,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,CCBY4,TRIO tracing,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),Fluorescent imaging of brain tissue sections labeled by TRIO tracing using 3 different viruses.,TRIO tracing,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),"The goal is to link the epigenetic profiles of projection neurons to their monosynaptic inputs and distant outputs from >100 neuronal circuits in the mouse brain. TRIO experiments use 3 different viruses (AAVretro-Ef1a-Cre, AAV8-hSyn-FLEX- TVA-P2A-GFP-2A-oG helper virus, and EnvA pseudotyped G-deleted Rabies mCherry (EnvA RVdG-4mCherry). At the start of the experiment, AAVretro-Ef1a-Cre is injected unilaterally into structures that receive axons of target brain regions of interest. Two weeks post AAV infection (P70), injection of AAV helper virus and G-deleted rabies virus (AAV8hSyn-FLEX-TVA-P2A-GFP-2A-oG helper virus, EnvA RVdG-4mCherry) are made into the regions of interest. One week following the injection of AAV helper and rabies virus the brains are sectioned and imaged to visualize neuronal populations defined by their corresponding input and output profiles. The patterns of labeling across the whole brain are then reconstructed, quantified, and mapped to the Allen CCF and made available on www.mouseconnectome.org. This results in labeling, across the entire brain of neurons providing input to each projection cell type within epigenetically defined regions of interest. over 100 brain regions are analyzed for male mice."
