data_collection_reference_id,technique_name
macosko_bg_multiome_atac_human,10X Genomics Multiome
macosko_bg_multiome_atac_macaque,ATAC-seq
macosko_bg_multiome_atac_macaque,10X Genomics Multiome
macosko_bg_multiome_gex_human,RNAseq
macosko_bg_multiome_gex_human,10X Genomics Multiome
macosko_bg_multiome_gex_macaque,RNAseq
macosko_bg_multiome_gex_macaque,10X Genomics Multiome
ren_pairedtag_human_DNA,Paired-Tag
ren_pairedtag_human_RNA,Paired-Tag
ren_pairedtag_mouse_adult_DNA,Paired-Tag
ren_pairedtag_mouse_adult_RNA,Paired-Tag
ren_pairedtag_mouse_dev_DNA,Paired-Tag
ren_pairedtag_mouse_dev_RNA,Paired-Tag
ecker_hu_sn_m3Cseq,snm3C-seq
lein_evo_Iso_Seq_arctic_ground_squirrel,PacBio long-read sequencing
lein_evo_Iso_Seq_armadillo,PacBio long-read sequencing
lein_evo_Iso_Seq_greenmonkey,PacBio long-read sequencing
lein_evo_Iso_Seq_nemestrina,PacBio long-read sequencing
lein_evo_Iso_Seq_opossum,PacBio long-read sequencing
lein_evo_Iso_Seq_squirrel_monkey,PacBio long-read sequencing
lein_sn_hippocampus,SMART-seq v4
tilgner_10x_scRNA,10x Chromium 3' v3 sequencing
tilgner_sc_pb,PacBio long-read sequencing
shepherd_rnafish_rna,TempO-seq
